Date,Source_File,Entity_Type,Entity_ID,Activity_Name,Full_Description,Related_Project,Related_Milestone,Department,Priority,Category,Tags
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-461,Create cross-reference index (tool→lesson→template),Create cross-reference index (tool→lesson→template),,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-462,Build research prompts for developer tutorials,Build research prompts for developer tutorials,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-463,Create File System research prompt v2,Create File System research prompt v2,,,AI,High,Development,Prompts
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-464,Add training/learning responsibilities to Libraries,Add training/learning responsibilities to Libraries,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-465,Create weekly AI tutorial research template,Create weekly AI tutorial research template,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-466,Convert SMM research into Task Templates,Convert SMM research into Task Templates,,,AI,High,Research,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-467,Create unified research prompt schema,Create unified research prompt schema,,,AI,High,Development,Prompts
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-468,Integrate Research ID system (RES-###),Integrate Research ID system (RES-###),,,AI,High,Research,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-469,Add ISO 3-letter codes to research,Add ISO 3-letter codes to research,,,AI,High,Research,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-470,Test entity upload to Postgres,Test entity upload to Postgres,,,AI,High,Testing,"Postgres, Entity System"
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-471,Build matching schemas for consistency,Build matching schemas for consistency,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-472,Define deliverables as milestone templates,Define deliverables as milestone templates,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-473,Maintain central listings while splitting by dept,Maintain central listings while splitting by dept,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-474,Create ID and name control scripts,Create ID and name control scripts,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-475,Build central IDs with names center,Build central IDs with names center,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-331,Create AI routes inside entity folders,Create AI routes inside entity folders,,,AI,High,Development,Entity System
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-332,Build index files for machine/AI access,Build index files for machine/AI access,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-333,Save schemas inside folders with field definitions,Save schemas inside folders with field definitions,,,AI,High,Task,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-334,Sync Task Template to backend,Sync Task Template to backend,,,Development,High,Integration,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-335,Create backend for DropBox SubEntity,Create backend for DropBox SubEntity,,,AI,High,Development,Dropbox
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-336,Build alert system for fired/left employees,Build alert system for fired/left employees,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-337,Connect Accounts to Talents profiles,Connect Accounts to Talents profiles,,,AI,High,Integration,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-338,Implement automatic access closure alerts,Implement automatic access closure alerts,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-339,Track secondary accounts (not just main emails),Track secondary accounts (not just main emails),,,AI,High,Task,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-340,Design country-based job account permissions,Design country-based job account permissions,,,Development,High,Design,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-341,Implement team lead access limits,Implement team lead access limits,,,Development,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-342,Build role-based account access system,Build role-based account access system,,,Development,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-343,Create account manager interface,Create account manager interface,,,Development,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-344,Add Balkans as region in system,Add Balkans as region in system,,,Design,High,Task,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-345,Design permission system architecture,Design permission system architecture,,,Development,High,Design,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-346,Implement employee-based permissions,Implement employee-based permissions,,,Development,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-347,Implement profession/role-based permissions,Implement profession/role-based permissions,,,Development,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-348,Create Auth User Service documentation,Create Auth User Service documentation,,,Development,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-349,Review GPT usage and costs,Review GPT usage and costs,,,Development,High,Research,AI Tools
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-350,Identify cost-cutting opportunities,Identify cost-cutting opportunities,,,Finance,High,Task,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-351,Create taxonomy initial ID inventory,Create taxonomy initial ID inventory,,,AI,High,Development,Taxonomy
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-352,Generate JSON with all entities and sub-entities,Generate JSON with all entities and sub-entities,,,AI,High,Task,Entity System
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-353,Add 3-letter ISO codes to entities,Add 3-letter ISO codes to entities,,,AI,High,Task,Entity System
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-354,Cross-validate with existing listings,Cross-validate with existing listings,,,AI,High,Testing,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-355,Document deprecated/archived entities,Document deprecated/archived entities,,,AI,High,Documentation,Entity System
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-356,Update milestone prefix from MLS-### to MLST-###,Update milestone prefix from MLS-### to MLST-###,,,AI,High,Maintenance,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-357,Filter daily notes by taxonomy,Filter daily notes by taxonomy,,,AI,High,Task,Taxonomy
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-358,Build parsing extraction taxonomy,Build parsing extraction taxonomy,,,AI,High,Development,Taxonomy
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-359,Identify repetitions in daily notes,Identify repetitions in daily notes,,,AI,High,Task,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-360,Create PLANS entity folder,Create PLANS entity folder,,,AI,High,Development,Entity System
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-361,Create YouTube channels list,Create YouTube channels list,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-362,Parse latest videos from channels,Parse latest videos from channels,,,AI,High,Testing,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-363,Analyze video relevancy,Analyze video relevancy,,,AI,High,Research,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-364,Build YouTube research milestone template,Build YouTube research milestone template,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-365,Log all n8n automations,Log all n8n automations,,,AI,High,Task,n8n
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-366,Create n8n workflow documentation,Create n8n workflow documentation,,,AI,High,Development,n8n
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-367,Build Google Sheets integration workflow,Build Google Sheets integration workflow,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-368,Create bot as separate milestone template,Create bot as separate milestone template,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-369,Build AI agent for n8n analysis,Build AI agent for n8n analysis,,,AI,High,Development,n8n
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-370,Generate n8n workflow from Claude,Generate n8n workflow from Claude,,,AI,High,Task,"Claude, n8n"
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-371,Create 10+ example n8n projects,Create 10+ example n8n projects,,,AI,High,Development,n8n
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-372,Implement daily analysis prompt reminder,Implement daily analysis prompt reminder,,,AI,High,Development,Prompts
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-373,Build continuous employee profile improvement system,Build continuous employee profile improvement system,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-374,Integrate attendance with employee profiles,Integrate attendance with employee profiles,,,AI,High,Integration,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-375,Analyze employee daily records,Analyze employee daily records,,,AI,High,Research,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-376,Create data injection scripts for daily notes,Create data injection scripts for daily notes,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-377,Build action/object extraction from daily notes,Build action/object extraction from daily notes,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-378,Update employee profiles automatically,Update employee profiles automatically,,,AI,High,Task,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-379,Update Prompt 6 for daily analysis,Update Prompt 6 for daily analysis,,,AI,High,Task,Prompts
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-380,Create task template schema,Create task template schema,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-381,Link actions/objects to responsibilities,Link actions/objects to responsibilities,,,AI,High,Task,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-382,Match research prompt naming conventions,Match research prompt naming conventions,,,AI,High,Research,Prompts
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-383,Parse recent videos for LinkedIn content,Parse recent videos for LinkedIn content,,,AI,High,Task,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-384,Create carousel posts from video content,Create carousel posts from video content,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-385,Build automated posting workflow,Build automated posting workflow,,,AI,High,Development,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-386,Design step-by-step content templates,Design step-by-step content templates,,,AI,High,Design,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-387,Design microservice methodology,Design microservice methodology,,,AI,High,Design,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-388,Test backend generation on small entity,Test backend generation on small entity,,,AI,High,Testing,Entity System
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-389,Build GitHub-Dropbox sync for backend,Build GitHub-Dropbox sync for backend,,,AI,High,Development,"Dropbox, GitHub"
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-390,Create dynamic Postgres generation,Create dynamic Postgres generation,,,AI,High,Development,Postgres
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-391,Organize API tokens management,Organize API tokens management,,,AI,High,Task,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-392,Fix taxonomy location (move if needed),Fix taxonomy location (move if needed),,,AI,High,Maintenance,Taxonomy
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-393,Integrate checklist items into task system,Integrate checklist items into task system,,,AI,High,Integration,
2025-12-18,181225_Niko_PROCESSED.md,TSK,TSK-394,Fix cursor flickering issue,Fix cursor flickering issue,,,AI,High,Maintenance,
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-320,Implement Entity Identification System v1.0,Implement Entity Identification System v1.0,,,AI,High,Development,Entity System
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-321,Set up multi-instance AI tool workflow,Set up multi-instance AI tool workflow,,,AI,High,Task,AI Tools
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-322,Deploy Google AntiGravity for team,Deploy Google AntiGravity for team,,,AI,High,Task,
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-323,Automate daily employee task assignment,Automate daily employee task assignment,,,AI,High,Task,
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-324,Build employee choice/selection system,Build employee choice/selection system,,,AI,High,Development,
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-325,Collect Discord voice logs for analytics,Collect Discord voice logs for analytics,,,AI,High,Task,Discord
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-326,Process department prompt logs daily,Process department prompt logs daily,,,AI,High,Task,Prompts
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-327,Convert Workflows to Projects in TASK_MANAGERS,Convert Workflows to Projects in TASK_MANAGERS,,,AI,High,Task,
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-328,Assign IDs to all ENTITIES folders,Assign IDs to all ENTITIES folders,,,AI,High,Task,Entity System
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-329,"Create MCP agent system (employees, libs, academy)","Create MCP agent system (employees, libs, academy)",,,AI,High,Development,
2025-12-19,191225_Niko_PROCESSED.md,TSK,TSK-330,Build screenshot verification automation,Build screenshot verification automation,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-233,Create department-specific daily analysis prompts,Create department-specific daily analysis prompts,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-234,Build starting point reference guides,Build starting point reference guides,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-235,Iterate prompts for better report quality,Iterate prompts for better report quality,,,AI,High,Task,
2025-11-20,201125_PROCESSED.md,TSK,TSK-236,Process tutorials from Department DropBox,Process tutorials from Department DropBox,,,AI,High,Task,Dropbox
2025-11-20,201125_PROCESSED.md,TSK,TSK-237,Find and download Google Drive guides in Markdown,Find and download Google Drive guides in Markdown,,,AI,High,Design,
2025-11-20,201125_PROCESSED.md,TSK,TSK-238,Export and process from Online Academy,Export and process from Online Academy,,,AI,High,Task,
2025-11-20,201125_PROCESSED.md,TSK,TSK-239,Create REPORTS folder in ENTITIES,Create REPORTS folder in ENTITIES,,,AI,High,Development,Entity System
2025-11-20,201125_PROCESSED.md,TSK,TSK-240,Add taxonomy for REPORTS entity,Add taxonomy for REPORTS entity,,,AI,High,Task,"Taxonomy, Entity System"
2025-11-20,201125_PROCESSED.md,TSK,TSK-241,Integrate IDS system (RPT-###),Integrate IDS system (RPT-###),,,AI,High,Integration,
2025-11-20,201125_PROCESSED.md,TSK,TSK-242,Import example reports,Import example reports,,,AI,High,Task,
2025-11-20,201125_PROCESSED.md,TSK,TSK-243,Create report classification system,Create report classification system,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-244,Update master taxonomy,Update master taxonomy,,,AI,High,Task,Taxonomy
2025-11-20,201125_PROCESSED.md,TSK,TSK-245,Create Tasks folder in Dailies,Create Tasks folder in Dailies,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-246,Create Plans folder in Dailies,Create Plans folder in Dailies,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-247,Add employee identification system,Add employee identification system,,,AI,High,Task,
2025-11-20,201125_PROCESSED.md,TSK,TSK-248,Cross-reference Task Manager with Online Academy,Cross-reference Task Manager with Online Academy,,,AI,High,Task,
2025-11-20,201125_PROCESSED.md,TSK,TSK-249,Store Online Academy links in guides,Store Online Academy links in guides,,,AI,High,Design,
2025-11-20,201125_PROCESSED.md,TSK,TSK-250,Add IDs to Online Academy content,Add IDs to Online Academy content,,,AI,High,Task,
2025-11-20,201125_PROCESSED.md,TSK,TSK-251,Apply taxonomy to Academy structure,Apply taxonomy to Academy structure,,,AI,High,Task,Taxonomy
2025-11-20,201125_PROCESSED.md,TSK,TSK-252,Create detailed onboarding tasks with steps,Create detailed onboarding tasks with steps,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-253,Build progress tracking via task IDs in reports,Build progress tracking via task IDs in reports,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-254,Create data flow clarification project,Create data flow clarification project,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-255,Run methodologies skill-up project research,Run methodologies skill-up project research,,,AI,High,Research,
2025-11-20,201125_PROCESSED.md,TSK,TSK-256,Create VS Code instruction tutorials,Create VS Code instruction tutorials,,,AI,High,Development,VS Code
2025-11-20,201125_PROCESSED.md,TSK,TSK-257,Implement logging to LOG folder during data population,Implement logging to LOG folder during data population,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-258,Implement TSM-### ID system,Implement TSM-### ID system,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-259,Create TSM-001_Project_Template,Create TSM-001_Project_Template,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-260,Document data import flows,Document data import flows,,,AI,High,Documentation,
2025-11-20,201125_PROCESSED.md,TSK,TSK-261,Define structured vs unstructured data handling,Define structured vs unstructured data handling,,,AI,High,Task,
2025-11-20,201125_PROCESSED.md,TSK,TSK-262,"Create input type taxonomy (Research, Video, etc.)","Create input type taxonomy (Research, Video, etc.)",,,AI,High,Development,Taxonomy
2025-11-20,201125_PROCESSED.md,TSK,TSK-263,Create employee TODO file system,Create employee TODO file system,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-264,Write learning materials generation guide,Write learning materials generation guide,,,AI,High,Documentation,
2025-11-20,201125_PROCESSED.md,TSK,TSK-265,"Enforce ""prompt-first"" rule","Enforce ""prompt-first"" rule",,,AI,High,Task,Prompts
2025-11-20,201125_PROCESSED.md,TSK,TSK-266,Create taxonomy introduction materials,Create taxonomy introduction materials,,,AI,High,Development,Taxonomy
2025-11-20,201125_PROCESSED.md,TSK,TSK-267,Update daily review prompts,Update daily review prompts,,,AI,High,Research,
2025-11-20,201125_PROCESSED.md,TSK,TSK-268,Locate all department prompts in Nov25 folders,Locate all department prompts in Nov25 folders,,,AI,High,Task,
2025-11-20,201125_PROCESSED.md,TSK,TSK-269,Consolidate prompts to ENTITIES/PROMPTS,Consolidate prompts to ENTITIES/PROMPTS,,,AI,High,Task,Entity System
2025-11-20,201125_PROCESSED.md,TSK,TSK-270,Create data import scripts,Create data import scripts,,,AI,High,Development,
2025-11-20,201125_PROCESSED.md,TSK,TSK-271,Research AirTable integration options,Research AirTable integration options,,,AI,High,Research,
2025-11-20,201125_PROCESSED.md,TSK,TSK-272,Design Task Manager choice/selection system,Design Task Manager choice/selection system,,,AI,High,Design,
