Queue_Position,Task_ID,Task_Name,Priority,Reclassified_Department,Category,Blocking_Dependencies,Assigned_To,Estimated_Duration,Business_Impact,Complexity_Score,Quick_Win_Flag,Match_Confidence,Matched_Template
32,TSK-385,Build automated posting workflow,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
33,TSK-386,Design step-by-step content templates,High,Design,Design,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
34,TSK-387,Design microservice methodology,High,Design,Design,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
35,TSK-389,Build GitHub-Dropbox sync for backend,High,Development,Development,,AI Engineer / DevOps Engineer,2 hours (30 min install + 1 hour config + 30 min testing),Internal,2,Yes,Medium,Task-Template-072
36,TSK-322,Deploy Google AntiGravity for team,High,Development,Task,,AI Engineer,5-10 minutes with AI assistance,Internal,2,Yes,Medium,Task-Template-010
37,TSK-234,Build starting point reference guides,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
38,TSK-237,Find and download Google Drive guides in Markdown,High,Design,Design,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
39,TSK-249,Store Online Academy links in guides,High,Design,Design,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
40,TSK-253,Build progress tracking via task IDs in reports,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
41,TSK-277,Build user login system with gmail,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
42,TSK-282,Create clear file location guidance,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
43,TSK-283,Build progress count updating script,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
44,TSK-284,Create tasks import guide,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
45,TSK-294,Build execution tracking system,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
46,TSK-295,Create execution update guides,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
47,TSK-303,Build automation posting,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
48,TSK-304,Train AI to build research tasks for people,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
49,TSK-107,Reformat LinkedIn queries for Google Maps,High,Lead Generation,Task,PRT-011,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,Medium,Task-Template-080
50,TSK-113,Test scraping with 3-4 videos about Google Maps scraping,High,Lead Generation,Testing,PRT-011,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,Medium,Task-Template-080
51,TSK-114,"Allocate 5 lead generators, 1-2 hours/day for Google Maps",High,Lead Generation,Task,PRT-011,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,Medium,Task-Template-080
52,TSK-115,Create attractive offer for leads (20 Google vs 5 LinkedIn),High,Lead Generation,Development,PRT-011,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,High,Task-Template-080
53,TSK-118,Create guidelines for reviews scraping direction,High,Design,Development,PRT-012,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
54,TSK-119,Add source marking for Google Maps data,High,Lead Generation,Task,PRT-012,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,Medium,Task-Template-080
55,TSK-123,Create Job Sites folder in ENTITIES/ACCOUNTS,High,Lead Generation,Development,PRT-013,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,Medium,Task-Template-080
56,TSK-125,Build Job Sites entity structure,High,Lead Generation,Development,PRT-013,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,Medium,Task-Template-080
57,TSK-126,Create Master JSON for Job Sites,High,Lead Generation,Development,PRT-013,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,Medium,Task-Template-080
58,TSK-127,Document Job Sites entity,High,Lead Generation,Documentation,PRT-013,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,Medium,Task-Template-080
59,TSK-128,Deploy v1.0 to Vercel,High,Development,Task,PRT-014,AI Engineer,5-10 minutes with AI assistance,Internal,2,Yes,Medium,Task-Template-010
60,TSK-134,Integrate UI Kit from Eleanor's work,High,Design,Design,PRT-014,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
61,TSK-136,Build API for dashboard data,High,Design,Development,PRT-014,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
62,TSK-141,Set up Vilhelm's VS Code with Claude Extension,High,AI,Task,PRT-015,Executive Assistant,Auto-draft: <1 minute | Review: 10 minutes,Internal,2,Yes,High,Task-Template-005
63,TSK-155,Sync Dropbox Tools to libdev.com,High,Development,Integration,PRT-016,AI Engineer,5-10 minutes with AI assistance,Internal,2,Yes,Medium,Task-Template-010
64,TSK-157,Design single task page layout,High,Design,Design,PRT-017,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
65,TSK-159,Build HTML template for single task,High,Design,Development,PRT-017,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
66,TSK-189,Create guidelines per profession,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
67,TSK-190,Build AI assistant framework,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
68,TSK-191,Design InnerClient concept,High,Sales,Design,,TBD,20-30 minutes,Internal,2,Yes,Medium,CUSTOM
69,TSK-195,Sync Dropbox Tools library to libdev.com,High,Development,Integration,,AI Engineer,5-10 minutes with AI assistance,Internal,2,Yes,Medium,Task-Template-010
70,TSK-197,Build manual sync script (fallback),High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
71,TSK-200,Monday call at 9 AM,High,Design,Task,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
72,TSK-201,Vilhelm + Yulya: Collect designer works,High,Design,Design,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
73,TSK-202,Implement designer work storage in Dropbox,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
74,TSK-204,Create plans for next stage,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
75,TSK-206,Mandate Dropbox work storage for designers,High,Design,Design,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
76,TSK-207,Create daily work documentation requirement,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
77,TSK-208,Diversify designer portfolios,High,Design,Design,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
78,TSK-209,Build case studies library,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
79,TSK-218,Build structured guidelines for manual assignment,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
80,TSK-222,Build AI prompt for task distribution,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
81,TSK-039,Populate leads with classifications,High,Lead Generation,Task,PRT-009,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,High,Task-Template-080
82,TSK-056,n8n Image Generation Guide,High,Design,Design,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
83,TSK-074,Portfolio Diversification Strategy,High,Design,Task,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
84,TSK-077,Media Library Development,High,AI,Development,,AI Engineer / DevOps Engineer,2 hours (30 min install + 1 hour config + 30 min testing),Internal,2,Yes,High,Task-Template-072
85,ARC-005,Integrate Log System,High,AI,Integration,,Executive Assistant,Auto-draft: <1 minute | Review: 10 minutes,Internal,2,Yes,High,Task-Template-005
86,PRT-013,Job Sites Entity Creation,High,AI,Automation,,Executive Assistant,Auto-draft: <1 minute | Review: 10 minutes,Internal,2,Yes,High,Task-Template-005
87,PRT-005,GitHub Entities Repository Integration,High,AI,Integration,,Executive Assistant,Auto-draft: <1 minute | Review: 10 minutes,Internal,2,Yes,High,Task-Template-005
88,TSK-DEV-2025-11-20-007,Dashboard/Courses UI Improvements,High,Design,Task,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
89,TSK-395,REVOKE exposed GitHub token immediately,High,Development,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
90,TSK-396,Generate new GitHub token,High,Development,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
91,TSK-397,Audit all files for exposed credentials,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
92,TSK-398,Implement secret scanning in repos,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
93,TSK-399,Conduct deep research on Desert Greener,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
94,TSK-400,Prepare pre-meeting research template,High,Sales,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
95,TSK-401,Schedule WhatsApp call with Wilhelm,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
96,TSK-403,Create email template with conversation references,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
97,TSK-404,Implement deep research before email sending,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
98,TSK-405,Add clear next-step instructions for clients,High,Sales,Task,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
99,TSK-406,Find substitute person for Vamos project,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
100,TSK-407,Talk to Dasha about retention,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
101,TSK-408,Identify issues causing quit desire,High,HR,Design,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,Medium,Task-Template-041
102,TSK-409,Create retention strategy,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,Medium,Task-Template-041
103,TSK-410,Retain Vamos employee (2 years tenure),High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
104,TSK-411,Resolve accounting/payment issues,High,Finance,Maintenance,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
105,TSK-412,Document retention process,High,HR,Documentation,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
106,TSK-413,Communicate final decision to MASEK client,High,Sales,Task,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
107,TSK-414,Document client termination policy,High,Sales,Documentation,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
108,TSK-415,Create script for daily notes action extraction,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
109,TSK-417,Implement object extraction after actions,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
110,TSK-418,Reduce token consumption via scripting,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
111,TSK-419,Integrate multiple AI platforms for processing,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
112,TSK-420,Continue data structuring work,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
113,TSK-421,Create deep research template (10-15 pages),High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
114,TSK-422,Build social media checklist (15 networks),High,SMM,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
115,TSK-423,Integrate company context into research,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
116,TSK-424,"Create ""new lesson of the week"" system",High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
117,TSK-425,Document deep research in client folders,High,Sales,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
118,TSK-426,Export Week 2 tasks list,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
119,TSK-427,Deprecate old workflow system,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
120,TSK-428,Structure financial folder architecture,High,Finance,Task,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
121,TSK-429,Create research list for Finance 2025,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
122,TSK-431,Generate prompts for financial analysis,High,Finance,Task,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
123,TSK-432,Create employee 1:1 session template,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,Medium,Task-Template-041
124,TSK-433,Export daily CRM attendance data,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
125,TSK-434,Build script to check employee file status,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,High,Task-Template-041
126,TSK-435,Verify Dropbox + VSCode + Extensions for all,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
127,TSK-436,Conduct manual verification by end of week,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
128,TSK-437,Use Overview folder data for analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
129,TSK-438,Create innovation rollout process,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
130,TSK-440,Create Cursor/Windsurf instructions,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
131,TSK-441,Build employee verification shifts,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,High,Task-Template-041
132,TSK-442,Assign department checkers,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
133,TSK-443,Create 2-week rollout timeline,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
134,TSK-444,Export Loom video titles,High,Video,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
135,TSK-445,Export Loom transcriptions,High,Video,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
136,TSK-446,Add remoteemployees.com content to assets,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
137,TSK-447,Build attendance statistics export system,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,High,Task-Template-041
138,TSK-450,Parse and analyze daily attendance,High,HR,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
139,TSK-451,Create Discord tools documentation,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
140,TSK-452,Reverse name conventions in Task Manager,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
141,TSK-453,Remove department letters from filenames,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
142,TSK-454,Update data integrity hierarchy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
143,TSK-455,Update all prompts with old naming,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
144,TSK-457,Create AI Catalog markdown file,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
145,TSK-458,Add AI Catalog to Assets index,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
146,TSK-459,Document AI Catalog content,High,SMM,Documentation,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
147,TSK-460,Perform oa-y/Libraries/Task Managers gap analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
148,TSK-461,Create cross-reference index (tool→lesson→template),High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
149,TSK-463,Create File System research prompt v2,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
150,TSK-464,Add training/learning responsibilities to Libraries,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
151,TSK-465,Create weekly AI tutorial research template,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
152,TSK-466,Convert SMM research into Task Templates,High,SMM,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
153,TSK-467,Create unified research prompt schema,High,Development,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
154,TSK-468,Integrate Research ID system (RES-###),High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
155,TSK-469,Add ISO 3-letter codes to research,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
156,TSK-470,Test entity upload to Postgres,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
157,TSK-472,Define deliverables as milestone templates,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
158,TSK-473,Maintain central listings while splitting by dept,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
159,TSK-474,Create ID and name control scripts,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
160,TSK-331,Create AI routes inside entity folders,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
161,TSK-333,Save schemas inside folders with field definitions,High,Development,Task,,TBD,TBD,Internal,2,No,Medium,CUSTOM
162,TSK-335,Create backend for DropBox SubEntity,High,Development,Development,,AI Engineer / Data Analyst,1.5 hours (30 min automation run + 45 min validation + 15 min reporting),Internal,2,No,Medium,Task-Template-074
163,TSK-336,Build alert system for fired/left employees,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,High,Task-Template-041
164,TSK-337,Connect Accounts to Talents profiles,High,HR,Integration,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
165,TSK-338,Implement automatic access closure alerts,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
166,TSK-339,Track secondary accounts (not just main emails),High,Sales,Task,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
167,TSK-342,Build role-based account access system,High,Sales,Development,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
168,TSK-343,Create account manager interface,High,Sales,Development,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,Medium,Task-Template-021
169,TSK-346,Implement employee-based permissions,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,Medium,Task-Template-041
170,TSK-348,Create Auth User Service documentation,High,Development,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
171,TSK-349,Review GPT usage and costs,High,Finance,Research,,AI Researcher / Content Specialist,5-8 hours (3-5 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-048
172,TSK-350,Identify cost-cutting opportunities,High,Finance,Task,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
173,TSK-351,Create taxonomy initial ID inventory,High,Finance,Development,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
174,TSK-352,Generate JSON with all entities and sub-entities,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
175,TSK-353,Add 3-letter ISO codes to entities,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
176,TSK-354,Cross-validate with existing listings,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
177,TSK-355,Document deprecated/archived entities,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
178,TSK-356,Update milestone prefix from MLS-### to MLST-###,High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,CUSTOM
179,TSK-357,Filter daily notes by taxonomy,High,Finance,Task,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
180,TSK-358,Build parsing extraction taxonomy,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
181,TSK-359,Identify repetitions in daily notes,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
182,TSK-360,Create PLANS entity folder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
183,TSK-361,Create YouTube channels list,High,Video,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
184,TSK-362,Parse latest videos from channels,High,Video,Testing,,TBD,TBD,Internal,2,No,Medium,CUSTOM
185,TSK-363,Analyze video relevancy,High,Video,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-045
186,TSK-364,Build YouTube research milestone template,High,Video,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
187,TSK-365,Log all n8n automations,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
188,TSK-366,Create n8n workflow documentation,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
189,TSK-368,Create bot as separate milestone template,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
190,TSK-371,Create 10+ example n8n projects,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
191,TSK-372,Implement daily analysis prompt reminder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
192,TSK-373,Build continuous employee profile improvement system,High,HR,Development,,HR Manager / Operations Specialist,2-3 hours,Internal,2,No,High,Task-Template-041
193,TSK-374,Integrate attendance with employee profiles,High,HR,Integration,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
194,TSK-375,Analyze employee daily records,High,HR,Research,,AI Researcher / Video Production Specialist,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-045
195,TSK-376,Create data injection scripts for daily notes,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
196,TSK-378,Update employee profiles automatically,High,HR,Task,,HR Manager / Automation Specialist,2-3 hours (one-time setup),Internal,2,No,Medium,Task-Template-039
197,TSK-379,Update Prompt 6 for daily analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
198,TSK-381,Link actions/objects to responsibilities,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
199,TSK-382,Match research prompt naming conventions,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
