Workflow_Cluster_ID,Workflow_Name,Related_Project_ID,Task_Count,Task_IDs,Cluster_Type,Total_Estimated_Hours,Milestone_Dependencies,Execution_Phase,Department,Task_Names,Task_Names
WFC-038,HR - Task Tasks,N/A,27,"TSK-407, TSK-410, TSK-433, TSK-436, TSK-446, TSK-378, TSK-323, TSK-247, TSK-313, TSK-319...",Parallel,31.0,N/A,Execution,HR,Talk to Dasha about retention; Retain Vamos employee (2 years tenure); Export daily CRM attendance data; Conduct manual verification by end of week; Add remoteemployees.com content to assets; Update employee profiles automatically; Automate daily employee task assignment; Add employee identification system; Add Ukandu Christopher to Pre-Sale list; ...,Talk to Dasha about retention; Retain Vamos employee (2 years tenure); Export daily CRM attendance data; Conduct manual verification by end of week; Add remoteemployees.com content to assets; Update employee profiles automatically; Automate daily employee task assignment; Add employee identification system; Add Ukandu Christopher to Pre-Sale list; ...
WFC-039,Lead Generation - Task Tasks,N/A,6,"TSK-439, TSK-DEV-2025-11-20-002, TSK-DGN-2025-11-20-003, TSK-DGN-2025-11-20-007, TSK-LGN-2025-11-20-001, TSK-LGN-2025-11-20-005",Parallel,3.0,N/A,Execution,Lead Generation,Decide: Team leads vs direct rollout; lead_gen_analytics Bug Fixes; Black Friday Banner Generation; Lead Generator Training Preparation; Lead Generation - Job Sites and CRM; Lead Generation Training,Decide: Team leads vs direct rollout; lead_gen_analytics Bug Fixes; Black Friday Banner Generation; Lead Generator Training Preparation; Lead Generation - Job Sites and CRM; Lead Generation Training
WFC-040,SMM - Development Tasks,N/A,4,"TSK-422, TSK-384, TSK-298, TSK-165",Parallel,24.0,N/A,Execution,SMM,Build social media checklist (15 networks); Create carousel posts from video content; Create Content Department; Create Master CSV for CONTENT,Build social media checklist (15 networks); Create carousel posts from video content; Create Content Department; Create Master CSV for CONTENT
WFC-041,SMM - Research Tasks,N/A,2,"TSK-466, TSK-181",Parallel,12.0,N/A,Execution,SMM,Convert SMM research into Task Templates; Connect research to posting schedule,Convert SMM research into Task Templates; Connect research to posting schedule
WFC-042,Sales - Design Tasks,N/A,2,"TSK-340, TSK-191",Parallel,0.0,N/A,Execution,Sales,Design country-based job account permissions; Design InnerClient concept,Design country-based job account permissions; Design InnerClient concept
WFC-043,Sales - Development Tasks,N/A,4,"TSK-342, TSK-343, TSK-274, TSK-193",Parallel,16.0,N/A,Execution,Sales,Build role-based account access system; Create account manager interface; Create accounts microservice; Create UI for InnerClient system,Build role-based account access system; Create account manager interface; Create accounts microservice; Create UI for InnerClient system
WFC-044,Sales - Documentation Tasks,N/A,2,"TSK-414, TSK-184",Parallel,8.0,N/A,Execution,Sales,Document client termination policy; Document client interview process,Document client termination policy; Document client interview process
WFC-045,Sales - Research Tasks,N/A,2,"TSK-400, TSK-425",Parallel,12.0,N/A,Execution,Sales,Prepare pre-meeting research template; Document deep research in client folders,Prepare pre-meeting research template; Document deep research in client folders
WFC-046,Sales - Task Tasks,N/A,19,"TSK-405, TSK-413, TSK-339, TSK-278, TSK-281, TSK-307, TSK-314, TSK-315, TSK-185, TSK-050...",Parallel,40.0,N/A,Execution,Sales,Add clear next-step instructions for clients; Communicate final decision to MASEK client; Track secondary accounts (not just main emails); Set up database for accounts; Restore data processes pipelines; Hosting in Vercel (Dev account); Sign contract with Borovik for client interview; Prepare Borovik for tomorrow's client interview; Track Friday client scheduling; ...,Add clear next-step instructions for clients; Communicate final decision to MASEK client; Track secondary accounts (not just main emails); Set up database for accounts; Restore data processes pipelines; Hosting in Vercel (Dev account); Sign contract with Borovik for client interview; Prepare Borovik for tomorrow's client interview; Track Friday client scheduling; ...
WFC-047,Video - Development Tasks,N/A,5,"TSK-361, TSK-364, TSK-289, TSK-293, TSK-168",Parallel,30.0,N/A,Execution,Video,Create YouTube channels list; Build YouTube research milestone template; Create list of videos to transcribe; Create transcription execution list with IDs; Build video catalog app,Create YouTube channels list; Build YouTube research milestone template; Create list of videos to transcribe; Create transcription execution list with IDs; Build video catalog app
WFC-048,Video - Documentation Tasks,N/A,2,"TSK-174, TSK-224",Parallel,12.0,N/A,Execution,Video,Document video editor processed works; Document transcription best practices,Document video editor processed works; Document transcription best practices
WFC-049,Video - Research Tasks,N/A,3,"TSK-363, TSK-302, TSK-167",Parallel,18.0,N/A,Execution,Video,Analyze video relevancy; Research YouTube videos for transcription; Research Figma AI tutorial videos,Analyze video relevancy; Research YouTube videos for transcription; Research Figma AI tutorial videos
WFC-050,Video - Task Tasks,N/A,11,"TSK-444, TSK-445, TSK-383, TSK-290, TSK-291, TSK-306, TSK-175, TSK-DGN-2025-11-20-005, TSK-DGN-2025-11-20-006, TSK-DGN-2025-11-20-010...",Parallel,0.0,N/A,Execution,Video,Export Loom video titles; Export Loom transcriptions; Parse recent videos for LinkedIn content; Put video transcriptions into people tasks; Run prompts for video search; Task: Search for videos (template); Define Google Drive storage locations; Runway Animation Instruction Creation; Runway Animation Course Creation; ...,Export Loom video titles; Export Loom transcriptions; Parse recent videos for LinkedIn content; Put video transcriptions into people tasks; Run prompts for video search; Task: Search for videos (template); Define Google Drive storage locations; Runway Animation Instruction Creation; Runway Animation Course Creation; ...
