Workflow_Cluster_ID,Workflow_Name,Related_Project_ID,Task_Count,Task_IDs,Cluster_Type,Total_Estimated_Hours,Milestone_Dependencies,Execution_Phase,Department
WFC-020,Design - Design Tasks,N/A,9,"TSK-345, TSK-386, TSK-387, TSK-237, TSK-249, TSK-201, TSK-206, TSK-208, TSK-056",Parallel,0.0,N/A,Execution,Design
WFC-021,Design - Development Tasks,N/A,31,"TSK-416, TSK-430, TSK-449, TSK-456, TSK-462, TSK-471, TSK-475, TSK-332, TSK-367, TSK-369...",Parallel,0.0,N/A,Execution,Design
WFC-022,Design - Documentation Tasks,N/A,4,"TSK-264, TSK-311, TSK-203, TSK-232",Parallel,8.0,N/A,Execution,Design
WFC-023,Design - Research Tasks,N/A,2,"TSK-205, TSK-076",Parallel,7.0,N/A,Execution,Design
WFC-024,Design - Task Tasks,N/A,10,"TSK-344, TSK-200, TSK-074, TSK-AID-2025-11-20-001, TSK-DEV-2025-11-20-003, TSK-DEV-2025-11-20-007, TSK-DGN-2025-11-20-001, TSK-DGN-2025-11-20-004, TSK-DGN-2025-11-20-008, TSK-VID-2025-11-20-003",Parallel,0.0,N/A,Execution,Design
WFC-025,Development - Development Tasks,N/A,11,"TSK-448, TSK-467, TSK-335, TSK-347, TSK-348, TSK-380, TSK-389, TSK-390, TSK-279, TSK-051...",Parallel,15.0,N/A,Execution,Development
WFC-026,Development - Documentation Tasks,N/A,2,"TSK-178, TSK-230",Parallel,12.0,N/A,Execution,Development
WFC-027,Development - Integration Tasks,N/A,3,"TSK-334, TSK-195, TSK-053",Parallel,0.0,N/A,Execution,Development
WFC-028,Development - Research Tasks,N/A,2,"TSK-271, TSK-196",Parallel,12.0,N/A,Execution,Development
WFC-029,Development - Task Tasks,N/A,13,"TSK-395, TSK-396, TSK-333, TSK-391, TSK-322, TSK-309, TSK-231, TSK-052, TSK-AID-2025-11-20-004, TSK-AID-2025-11-20-005...",Parallel,0.0,N/A,Execution,Development
WFC-030,Finance - Development Tasks,N/A,5,"TSK-351, TSK-262, TSK-266, TSK-173, TSK-212",Parallel,15.0,N/A,Execution,Finance
WFC-031,Finance - Maintenance Tasks,N/A,2,"TSK-411, TSK-392",Parallel,6.0,N/A,Execution,Finance
WFC-032,Finance - Research Tasks,N/A,4,"TSK-349, TSK-171, TSK-066, TSK-066",Parallel,11.0,N/A,Execution,Finance
WFC-033,Finance - Task Tasks,N/A,9,"TSK-428, TSK-431, TSK-350, TSK-357, TSK-244, TSK-251, TSK-172, TSK-192, TSK-FIN-2025-11-20-002",Parallel,24.0,N/A,Execution,Finance
WFC-034,HR - Development Tasks,N/A,17,"TSK-409, TSK-432, TSK-434, TSK-441, TSK-447, TSK-336, TSK-346, TSK-373, TSK-324, TSK-329...",Parallel,30.0,N/A,Execution,HR
WFC-035,HR - Documentation Tasks,N/A,2,"TSK-412, TSK-317",Parallel,3.0,N/A,Execution,HR
WFC-036,HR - Integration Tasks,N/A,4,"TSK-337, TSK-374, TSK-299, TSK-033",Parallel,8.0,N/A,Execution,HR
WFC-037,HR - Research Tasks,N/A,3,"TSK-450, TSK-375, TSK-063",Parallel,12.0,N/A,Execution,HR
WFC-038,HR - Task Tasks,N/A,27,"TSK-407, TSK-410, TSK-433, TSK-436, TSK-446, TSK-378, TSK-323, TSK-247, TSK-313, TSK-319...",Parallel,31.0,N/A,Execution,HR
WFC-039,Lead Generation - Task Tasks,N/A,6,"TSK-439, TSK-DEV-2025-11-20-002, TSK-DGN-2025-11-20-003, TSK-DGN-2025-11-20-007, TSK-LGN-2025-11-20-001, TSK-LGN-2025-11-20-005",Parallel,3.0,N/A,Execution,Lead Generation
WFC-040,SMM - Development Tasks,N/A,4,"TSK-422, TSK-384, TSK-298, TSK-165",Parallel,24.0,N/A,Execution,SMM
WFC-041,SMM - Research Tasks,N/A,2,"TSK-466, TSK-181",Parallel,12.0,N/A,Execution,SMM
WFC-042,Sales - Design Tasks,N/A,2,"TSK-340, TSK-191",Parallel,0.0,N/A,Execution,Sales
WFC-043,Sales - Development Tasks,N/A,4,"TSK-342, TSK-343, TSK-274, TSK-193",Parallel,16.0,N/A,Execution,Sales
WFC-044,Sales - Documentation Tasks,N/A,2,"TSK-414, TSK-184",Parallel,8.0,N/A,Execution,Sales
WFC-045,Sales - Research Tasks,N/A,2,"TSK-400, TSK-425",Parallel,12.0,N/A,Execution,Sales
WFC-046,Sales - Task Tasks,N/A,19,"TSK-405, TSK-413, TSK-339, TSK-278, TSK-281, TSK-307, TSK-314, TSK-315, TSK-185, TSK-050...",Parallel,40.0,N/A,Execution,Sales
WFC-047,Video - Development Tasks,N/A,5,"TSK-361, TSK-364, TSK-289, TSK-293, TSK-168",Parallel,30.0,N/A,Execution,Video
WFC-048,Video - Documentation Tasks,N/A,2,"TSK-174, TSK-224",Parallel,12.0,N/A,Execution,Video
WFC-049,Video - Research Tasks,N/A,3,"TSK-363, TSK-302, TSK-167",Parallel,18.0,N/A,Execution,Video
WFC-050,Video - Task Tasks,N/A,11,"TSK-444, TSK-445, TSK-383, TSK-290, TSK-291, TSK-306, TSK-175, TSK-DGN-2025-11-20-005, TSK-DGN-2025-11-20-006, TSK-DGN-2025-11-20-010...",Parallel,0.0,N/A,Execution,Video
