Task_ID,Task_Name,Original_Department,Reclassified_Department,Priority,Primary_Role,Responsible_Person,Accountable_Person,Consulted_Roles,Informed_Roles,Assignment_Status,Estimated_Duration,Required_Skills,Responsibility_Match
TSK-334,Sync Task Template to backend,Development,Development,High,AI Engineer,AI Engineer,Development Lead,"Backend Developer, Operations Team","Automation Team, End Users",Proposed,5-10 minutes with AI assistance,"SKL-071 (deployed MCP connectors via Cursor), SKL-075 (configured OAuth for Google APIs - if needed)",N/A
TSK-335,Create backend for DropBox SubEntity,AI,Development,High,AI Engineer / Data Analyst,TBD,Development Lead,,,Proposed,1.5 hours (30 min automation run + 45 min validation + 15 min reporting),,N/A
TSK-336,Build alert system for fired/left employees,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-337,Connect Accounts to Talents profiles,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-338,Implement automatic access closure alerts,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-339,Track secondary accounts (not just main emails),AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-340,Design country-based job account permissions,Development,Sales,High,Specialist,TBD,Sales Lead,,,Proposed,20-30 minutes,,manage sales pipeline
TSK-341,Implement team lead access limits,Development,Lead Generation,High,AI Engineer / DevOps Engineer,TBD,Lead Generation Lead,,,Proposed,2 hours (30 min install + 1 hour config + 30 min testing),,generate leads
TSK-342,Build role-based account access system,Development,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-343,Create account manager interface,Development,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-344,Add Balkans as region in system,Design,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-345,Design permission system architecture,Development,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-346,Implement employee-based permissions,Development,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-347,Implement profession/role-based permissions,Development,Development,High,AI Engineer,AI Engineer,Development Lead,,"Operations Team, Automation Team",Proposed,1-2 minutes,,N/A
TSK-348,Create Auth User Service documentation,Development,Development,High,AI Researcher / Developer,TBD,Development Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-349,Review GPT usage and costs,Development,Finance,High,AI Researcher / Content Specialist,TBD,Finance Lead,,,Proposed,5-8 hours (3-5 hours research + 2-3 hours documentation),,N/A
TSK-350,Identify cost-cutting opportunities,Finance,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-351,Create taxonomy initial ID inventory,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-352,Generate JSON with all entities and sub-entities,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-353,Add 3-letter ISO codes to entities,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-354,Cross-validate with existing listings,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-355,Document deprecated/archived entities,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-356,Update milestone prefix from MLS-### to MLST-###,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-357,Filter daily notes by taxonomy,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-358,Build parsing extraction taxonomy,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-359,Identify repetitions in daily notes,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-360,Create PLANS entity folder,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-361,Create YouTube channels list,AI,Video,High,AI Researcher / Developer,TBD,Video Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,produce videos
TSK-362,Parse latest videos from channels,AI,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-363,Analyze video relevancy,AI,Video,High,AI Researcher / Video Production Specialist,TBD,Video Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,produce videos
TSK-364,Build YouTube research milestone template,AI,Video,High,AI Researcher / Developer,TBD,Video Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,produce videos
TSK-365,Log all n8n automations,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-366,Create n8n workflow documentation,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-367,Build Google Sheets integration workflow,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-368,Create bot as separate milestone template,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-369,Build AI agent for n8n analysis,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-370,Generate n8n workflow from Claude,AI,AI,High,Operations Manager,Operations Manager,Operations Director,"Account Executive, Sales Manager","Sales Team, Customer Success",Proposed,1-4 minutes (automated execution),"SKL-073 (configured stacked connector workflows), SKL-074 (extracted meeting insights via Claude)",N/A
TSK-371,Create 10+ example n8n projects,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-372,Implement daily analysis prompt reminder,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-373,Build continuous employee profile improvement system,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-374,Integrate attendance with employee profiles,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-375,Analyze employee daily records,AI,HR,High,AI Researcher / Video Production Specialist,TBD,HR Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-376,Create data injection scripts for daily notes,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-377,Build action/object extraction from daily notes,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-378,Update employee profiles automatically,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-379,Update Prompt 6 for daily analysis,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-380,Create task template schema,AI,Development,High,AI Engineer,AI Engineer,Development Lead,,"Operations Team, Automation Team",Proposed,1-2 minutes,,N/A
TSK-381,Link actions/objects to responsibilities,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-382,Match research prompt naming conventions,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-383,Parse recent videos for LinkedIn content,AI,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-384,Create carousel posts from video content,AI,SMM,High,AI Researcher / Developer,TBD,SMM Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-385,Build automated posting workflow,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-386,Design step-by-step content templates,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-387,Design microservice methodology,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-388,Test backend generation on small entity,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-389,Build GitHub-Dropbox sync for backend,AI,Development,High,AI Engineer / DevOps Engineer,TBD,Development Lead,,,Proposed,2 hours (30 min install + 1 hour config + 30 min testing),,N/A
TSK-390,Create dynamic Postgres generation,AI,Development,High,AI Engineer,AI Engineer,Development Lead,,"Operations Team, Automation Team",Proposed,1-2 minutes,,N/A
TSK-391,Organize API tokens management,AI,Development,High,Specialist,TBD,Development Lead,,,Proposed,TBD,,N/A
TSK-392,Fix taxonomy location (move if needed),AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-393,Integrate checklist items into task system,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-394,Fix cursor flickering issue,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-320,Implement Entity Identification System v1.0,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-321,Set up multi-instance AI tool workflow,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-322,Deploy Google AntiGravity for team,AI,Development,High,AI Engineer,AI Engineer,Development Lead,"Backend Developer, Operations Team","Automation Team, End Users",Proposed,5-10 minutes with AI assistance,"SKL-071 (deployed MCP connectors via Cursor), SKL-075 (configured OAuth for Google APIs - if needed)",N/A
TSK-323,Automate daily employee task assignment,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-324,Build employee choice/selection system,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-325,Collect Discord voice logs for analytics,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-326,Process department prompt logs daily,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-327,Convert Workflows to Projects in TASK_MANAGERS,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-328,Assign IDs to all ENTITIES folders,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-329,"Create MCP agent system (employees, libs, academy)",AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,1.5-2 hours,,N/A
TSK-330,Build screenshot verification automation,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-233,Create department-specific daily analysis prompts,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-234,Build starting point reference guides,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-235,Iterate prompts for better report quality,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-236,Process tutorials from Department DropBox,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-237,Find and download Google Drive guides in Markdown,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-238,Export and process from Online Academy,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-239,Create REPORTS folder in ENTITIES,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-240,Add taxonomy for REPORTS entity,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-241,Integrate IDS system (RPT-###),AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-242,Import example reports,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-243,Create report classification system,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-244,Update master taxonomy,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-245,Create Tasks folder in Dailies,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-246,Create Plans folder in Dailies,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-247,Add employee identification system,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,1.5-2 hours,,N/A
TSK-248,Cross-reference Task Manager with Online Academy,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-249,Store Online Academy links in guides,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-250,Add IDs to Online Academy content,AI,SMM,High,Specialist,TBD,SMM Lead,,,Proposed,TBD,,N/A
TSK-251,Apply taxonomy to Academy structure,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-252,Create detailed onboarding tasks with steps,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-253,Build progress tracking via task IDs in reports,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-254,Create data flow clarification project,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-255,Run methodologies skill-up project research,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-256,Create VS Code instruction tutorials,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-257,Implement logging to LOG folder during data population,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-258,Implement TSM-### ID system,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-259,Create TSM-001_Project_Template,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-260,Document data import flows,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-261,Define structured vs unstructured data handling,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-262,"Create input type taxonomy (Research, Video, etc.)",AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-263,Create employee TODO file system,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,1.5-2 hours,,N/A
TSK-264,Write learning materials generation guide,AI,Design,High,Designer / Developer / Creative Professional,TBD,Design Lead,,,Proposed,2 hours (45 min organization + 45 min documentation + 30 min updates),,design UI mockups
TSK-265,"Enforce ""prompt-first"" rule",AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-266,Create taxonomy introduction materials,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-267,Update daily review prompts,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-268,Locate all department prompts in Nov25 folders,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-269,Consolidate prompts to ENTITIES/PROMPTS,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-270,Create data import scripts,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-271,Research AirTable integration options,AI,Development,High,AI Researcher / Video Production Specialist,TBD,Development Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-272,Design Task Manager choice/selection system,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-273,Import accounts to ENTITIES,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-274,Create accounts microservice,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-275,Bind gmails to tools,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-276,Integrate accounts into AI Catalog,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-277,Build user login system with gmail,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
