task_template_id,task_name,department,category,priority,complexity,estimated_duration,business_impact,quick_win,matched_template,assigned_to,original_id,filename
TST-044,LG Department Core Principles Doc,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-044,TST-044_LG_Department_Core_Principles_Doc.json
TST-045,Obligatory: Save 5 Templates + Screenshot,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-045,TST-045_Obligatory_Save_5_Templates_+_Screenshot.json
TST-046,Sales Email Templates,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-046,TST-046_Sales_Email_Templates.json
TST-047,Connect to Google Calendar,AID,Integration,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-047,TST-047_Connect_to_Google_Calendar.json
TST-048,Scrape Event Metadata,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-048,TST-048_Scrape_Event_Metadata.json
TST-049,Populate Business Entity from Sales,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-049,TST-049_Populate_Business_Entity_from_Sales.json
TST-050,Get CRM Data on Daily LeadGen Cards,SLS,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-050,TST-050_Get_CRM_Data_on_Daily_LeadGen_Cards.json
TST-051,Learning Flow Step-by-Step Development,DEV,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-051,TST-051_Learning_Flow_Step-by-Step_Development.json
TST-052,Track Task Completions via Microservices,DEV,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-052,TST-052_Track_Task_Completions_via_Microservices.json
TST-053,Synchronize Libs with Online Academy,DEV,Integration,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-053,TST-053_Synchronize_Libs_with_Online_Academy.json
TST-054,Connect Task Managers to Libs,AID,Integration,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-054,TST-054_Connect_Task_Managers_to_Libs.json
TST-055,Task Manager Dashboard with Database,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-055,TST-055_Task_Manager_Dashboard_with_Database.json
TST-056,n8n Image Generation Guide,DGN,Design,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-056,TST-056_n8n_Image_Generation_Guide.json
TST-057,Frontend OAuth Implementation,DEV,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-057,TST-057_Frontend_OAuth_Implementation.json
TST-058,Personal Task Manager Web Pages,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-058,TST-058_Personal_Task_Manager_Web_Pages.json
TST-059,Add Rules for AI in Each Folder,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-059,TST-059_Add_Rules_for_AI_in_Each_Folder.json
TST-060,Log Entity Integration,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-060,TST-060_Log_Entity_Integration.json
TST-061,Keep Logs Longer,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-061,TST-061_Keep_Logs_Longer.json
TST-062,Develop USER Entities,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-062,TST-062_Develop_USER_Entities.json
TST-063,Review TALENTS match with Database,HRM,Research,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-063,TST-063_Review_TALENTS_match_with_Database.json
TST-064,Prepare DB EXPORT Folder: LIBRARIES,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-064,TST-064_Prepare_DB_EXPORT_Folder_LIBRARIES.json
TST-065,Text Researches Recognition & Import,AID,Research,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-065,TST-065_Text_Researches_Recognition_&_Import.json
TST-066,Core System Taxonomy Architecture Review,FIN,Research,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-066,TST-066_Core_System_Taxonomy_Architecture_Review.json
TST-067,Prompt for Transcription Export,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-067,TST-067_Prompt_for_Transcription_Export.json
TST-068,Prompts for Weekly Analysis,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-068,TST-068_Prompts_for_Weekly_Analysis.json
TST-069,Prompts for Daily Analysis,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-069,TST-069_Prompts_for_Daily_Analysis.json
TST-070,Researches Dashboard,AID,Research,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-070,TST-070_Researches_Dashboard.json
TST-071,Export Dailies Summaries to ToDo App,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-071,TST-071_Export_Dailies_Summaries_to_ToDo_App.json
TST-072,Tasks Templates Execution System,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-072,TST-072_Tasks_Templates_Execution_System.json
TST-073,Steps Confirmation System,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-073,TST-073_Steps_Confirmation_System.json
TST-074,Portfolio Diversification Strategy,DGN,Task,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-074,TST-074_Portfolio_Diversification_Strategy.json
TST-075,Create More Case Studies,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-075,TST-075_Create_More_Case_Studies.json
TST-076,Deep Research Designer Task,DGN,Research,High,Medium,2.5 hours (30 min planning + 1.5 hours generation + 30 min refinement),Medium,False,CUSTOM,TBD,TSK-076,TST-076_Deep_Research_Designer_Task.json
TST-077,Media Library Development,AID,Development,High,Medium,2 hours (30 min install + 1 hour config + 30 min testing),Medium,False,CUSTOM,TBD,TSK-077,TST-077_Media_Library_Development.json
TST-106,Find historical search queries file on Google Drive,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-106,TST-106_Find_historical_search_queries_file_on_Google_Drive.json
TST-107,Reformat LinkedIn queries for Google Maps,LGN,Task,High,Medium,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Medium,False,CUSTOM,TBD,TSK-107,TST-107_Reformat_LinkedIn_queries_for_Google_Maps.json
TST-108,Create detailed prompt for query generation (Column H),AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-108,TST-108_Create_detailed_prompt_for_query_generation_(Column_H).json
TST-109,Build URL parsing script,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-109,TST-109_Build_URL_parsing_script.json
TST-110,Extract company name from URLs,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-110,TST-110_Extract_company_name_from_URLs.json
TST-111,Connect scraper to CRM automation,SLS,Integration,High,Medium,4-5 hours for 50 emails,Medium,False,CUSTOM,TBD,TSK-111,TST-111_Connect_scraper_to_CRM_automation.json
TST-112,Implement duplicate checking against CRM,SLS,Development,High,Medium,4-5 hours for 50 emails,Medium,False,CUSTOM,TBD,TSK-112,TST-112_Implement_duplicate_checking_against_CRM.json
TST-113,Test scraping with 3-4 videos about Google Maps scraping,LGN,Testing,High,Medium,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Medium,False,CUSTOM,TBD,TSK-113,TST-113_Test_scraping_with_3-4_videos_about_Google_Maps_scraping.json
TST-114,"Allocate 5 lead generators, 1-2 hours/day for Google Maps",LGN,Task,High,Medium,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Medium,False,CUSTOM,TBD,TSK-114,"TST-114_Allocate_5_lead_generators,_1-2_hoursday_for_Google_Maps.json"
TST-115,Create attractive offer for leads (20 Google vs 5 LinkedIn),LGN,Development,High,Medium,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Medium,False,CUSTOM,TBD,TSK-115,TST-115_Create_attractive_offer_for_leads_(20_Google_vs_5_LinkedIn).json
TST-116,Document scraping system (20% checkpoint),DEV,Documentation,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-116,TST-116_Document_scraping_system_(20%_checkpoint).json
TST-117,Research world methodologies on Google Maps scraping,LGN,Research,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-117,TST-117_Research_world_methodologies_on_Google_Maps_scraping.json
TST-118,Create guidelines for reviews scraping direction,DGN,Development,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-118,TST-118_Create_guidelines_for_reviews_scraping_direction.json
TST-119,Add source marking for Google Maps data,LGN,Task,High,Medium,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Medium,False,CUSTOM,TBD,TSK-119,TST-119_Add_source_marking_for_Google_Maps_data.json
TST-120,Implement social media scraping,SMM,Development,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-120,TST-120_Implement_social_media_scraping.json
TST-121,Test review system with live data,AID,Research,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-121,TST-121_Test_review_system_with_live_data.json
TST-122,Launch system with LGN team,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-122,TST-122_Launch_system_with_LGN_team.json
TST-123,Create Job Sites folder in ENTITIES/ACCOUNTS,LGN,Development,High,Medium,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Medium,False,CUSTOM,TBD,TSK-123,TST-123_Create_Job_Sites_folder_in_ENTITIESACCOUNTS.json
TST-124,Review other entities' taxonomy,AID,Research,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-124,TST-124_Review_other_entities'_taxonomy.json
TST-125,Build Job Sites entity structure,LGN,Development,High,Medium,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Medium,False,CUSTOM,TBD,TSK-125,TST-125_Build_Job_Sites_entity_structure.json
TST-126,Create Master JSON for Job Sites,LGN,Development,High,Medium,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Medium,False,CUSTOM,TBD,TSK-126,TST-126_Create_Master_JSON_for_Job_Sites.json
TST-127,Document Job Sites entity,LGN,Documentation,High,Medium,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Medium,False,CUSTOM,TBD,TSK-127,TST-127_Document_Job_Sites_entity.json
TST-128,Deploy v1.0 to Vercel,DEV,Task,High,Medium,5-10 minutes with AI assistance,Medium,False,CUSTOM,TBD,TSK-128,TST-128_Deploy_v1.0_to_Vercel.json
TST-129,Share dashboard access with all departments,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-129,TST-129_Share_dashboard_access_with_all_departments.json
TST-130,Fix white text display,AID,Maintenance,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-130,TST-130_Fix_white_text_display.json
TST-131,Add tool filtering feature,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-131,TST-131_Add_tool_filtering_feature.json
TST-132,Implement user login tracking,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-132,TST-132_Implement_user_login_tracking.json
TST-133,Create user assignment system,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-133,TST-133_Create_user_assignment_system.json
TST-134,Integrate UI Kit from Eleanor's work,DGN,Design,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-134,TST-134_Integrate_UI_Kit_from_Eleanor's_work.json
TST-135,Add calendar feature,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-135,TST-135_Add_calendar_feature.json
TST-136,Build API for dashboard data,DGN,Development,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-136,TST-136_Build_API_for_dashboard_data.json
TST-137,Integrate with LibDev catalog,AID,Integration,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-137,TST-137_Integrate_with_LibDev_catalog.json
TST-138,Document dashboard usage,AID,Documentation,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-138,TST-138_Document_dashboard_usage.json
TST-139,Create employee training materials,HRM,Development,High,Medium,2-3 hours,Medium,False,CUSTOM,TBD,TSK-139,TST-139_Create_employee_training_materials.json
TST-140,Teach Vilhelm video parsing workflow,VID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-140,TST-140_Teach_Vilhelm_video_parsing_workflow.json
TST-141,Set up Vilhelm's VS Code with Claude Extension,AID,Task,High,Medium,Auto-draft: <1 minute | Review: 10 minutes,Medium,False,CUSTOM,TBD,TSK-141,TST-141_Set_up_Vilhelm's_VS_Code_with_Claude_Extension.json
TST-142,Configure Vilhelm's key bindings,VID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-142,TST-142_Configure_Vilhelm's_key_bindings.json
TST-143,Introduce Vilhelm to ENTITIES structure,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-143,TST-143_Introduce_Vilhelm_to_ENTITIES_structure.json
TST-144,Assign Vilhelm accounts with limits,SLS,Task,High,Medium,4-5 hours for 50 emails,Medium,False,CUSTOM,TBD,TSK-144,TST-144_Assign_Vilhelm_accounts_with_limits.json
TST-145,Vilhelm: Research YouTube channels on Google Maps scraping,LGN,Research,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-145,TST-145_Vilhelm_Research_YouTube_channels_on_Google_Maps_scraping.json
TST-146,Vilhelm: Parse 3-4 videos by Monday,VID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-146,TST-146_Vilhelm_Parse_3-4_videos_by_Monday.json
TST-147,"Vilhelm: Create ""Deep Research"" task",AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-147,TST-147_Vilhelm_Create_Deep_Research_task.json
TST-148,Vilhelm: Check Online Academy for Deep Research content,SMM,Research,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-148,TST-148_Vilhelm_Check_Online_Academy_for_Deep_Research_content.json
TST-149,Vilhelm: Integrate prompts into ENTITIES ecosystem,AID,Integration,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-149,TST-149_Vilhelm_Integrate_prompts_into_ENTITIES_ecosystem.json
TST-150,Document current AI tools tracking system,AID,Documentation,High,Medium,5-8 hours (3-5 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-150,TST-150_Document_current_AI_tools_tracking_system.json
TST-151,Add user assignment field to accounts,SLS,Task,High,Medium,4-5 hours for 50 emails,Medium,False,CUSTOM,TBD,TSK-151,TST-151_Add_user_assignment_field_to_accounts.json
TST-152,Implement login session tracking,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-152,TST-152_Implement_login_session_tracking.json
TST-153,Create token usage alerts,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-153,TST-153_Create_token_usage_alerts.json
TST-154,Purchase additional AI tool accounts,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-154,TST-154_Purchase_additional_AI_tool_accounts.json
TST-155,Sync Dropbox Tools to libdev.com,DEV,Integration,High,Medium,5-10 minutes with AI assistance,Medium,False,CUSTOM,TBD,TSK-155,TST-155_Sync_Dropbox_Tools_to_libdev.com.json
TST-156,Build account rotation recommendations,SLS,Development,High,Medium,4-5 hours for 50 emails,Medium,False,CUSTOM,TBD,TSK-156,TST-156_Build_account_rotation_recommendations.json
TST-157,Design single task page layout,DGN,Design,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-157,TST-157_Design_single_task_page_layout.json
TST-158,Create prompt for task page generation,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-158,TST-158_Create_prompt_for_task_page_generation.json
TST-159,Build HTML template for single task,DGN,Development,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-159,TST-159_Build_HTML_template_for_single_task.json
TST-160,Test with Deep Research task,AID,Research,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-160,TST-160_Test_with_Deep_Research_task.json
TST-161,Create research queue/line system,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-161,TST-161_Create_research_queueline_system.json
TST-162,Integrate with TASK_MANAGERS data,AID,Integration,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-162,TST-162_Integrate_with_TASK_MANAGERS_data.json
TST-163,Create CONTENT entity folder,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-163,TST-163_Create_CONTENT_entity_folder.json
TST-164,Define CONTENT entity taxonomy,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-164,TST-164_Define_CONTENT_entity_taxonomy.json
TST-165,Create Master CSV for CONTENT,SMM,Development,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-165,TST-165_Create_Master_CSV_for_CONTENT.json
TST-166,Populate with existing tutorials,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-166,TST-166_Populate_with_existing_tutorials.json
TST-167,Research Figma AI tutorial videos,VID,Research,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-167,TST-167_Research_Figma_AI_tutorial_videos.json
TST-168,Build video catalog app,VID,Development,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-168,TST-168_Build_video_catalog_app.json
TST-169,Implement clickable timestamps,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-169,TST-169_Implement_clickable_timestamps.json
TST-170,Create minimum parse list,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-170,TST-170_Create_minimum_parse_list.json
TST-171,Review current video processing taxonomy,FIN,Research,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-171,TST-171_Review_current_video_processing_taxonomy.json
TST-172,Identify taxonomy improvements,FIN,Task,High,Medium,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Medium,False,CUSTOM,TBD,TSK-172,TST-172_Identify_taxonomy_improvements.json
TST-173,Implement taxonomy upgrades,FIN,Development,High,Medium,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Medium,False,CUSTOM,TBD,TSK-173,TST-173_Implement_taxonomy_upgrades.json
TST-174,Document video editor processed works,VID,Documentation,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-174,TST-174_Document_video_editor_processed_works.json
TST-175,Define Google Drive storage locations,VID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-175,TST-175_Define_Google_Drive_storage_locations.json
TST-176,Research Gravity AI tool capabilities,AID,Research,High,Medium,5-8 hours (3-5 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-176,TST-176_Research_Gravity_AI_tool_capabilities.json
TST-177,Integrate Responsibilities into LBS taxonomy,FIN,Integration,High,Medium,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Medium,False,CUSTOM,TBD,TSK-177,TST-177_Integrate_Responsibilities_into_LBS_taxonomy.json
TST-178,Document Gravity integration,DEV,Documentation,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-178,TST-178_Document_Gravity_integration.json
TST-179,Prepare shifts management system,HRM,Task,High,Medium,1.5-2 hours,Medium,False,CUSTOM,TBD,TSK-179,TST-179_Prepare_shifts_management_system.json
TST-180,Document schedule management techniques,AID,Documentation,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-180,TST-180_Document_schedule_management_techniques.json
TST-181,Connect research to posting schedule,SMM,Research,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-181,TST-181_Connect_research_to_posting_schedule.json
TST-182,Create BUSINESSES entity folder,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-182,TST-182_Create_BUSINESSES_entity_folder.json
TST-183,Define BUSINESSES entity taxonomy,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-183,TST-183_Define_BUSINESSES_entity_taxonomy.json
TST-184,Document client interview process,SLS,Documentation,High,Medium,4-5 hours for 50 emails,Medium,False,CUSTOM,TBD,TSK-184,TST-184_Document_client_interview_process.json
TST-185,Track Friday client scheduling,SLS,Task,High,Medium,4-5 hours for 50 emails,Medium,False,CUSTOM,TBD,TSK-185,TST-185_Track_Friday_client_scheduling.json
TST-186,Store interview recordings/notes,HRM,Task,High,Medium,1.5-2 hours,Medium,False,CUSTOM,TBD,TSK-186,TST-186_Store_interview_recordingsnotes.json
TST-187,Define profession categories,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-187,TST-187_Define_profession_categories.json
TST-188,Populate tutorials per profession,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-188,TST-188_Populate_tutorials_per_profession.json
TST-189,Create guidelines per profession,DGN,Development,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-189,TST-189_Create_guidelines_per_profession.json
TST-190,Build AI assistant framework,DGN,Development,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-190,TST-190_Build_AI_assistant_framework.json
TST-191,Design InnerClient concept,SLS,Design,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-191,TST-191_Design_InnerClient_concept.json
TST-192,Define pricing per profession,FIN,Task,High,Medium,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Medium,False,CUSTOM,TBD,TSK-192,TST-192_Define_pricing_per_profession.json
TST-193,Create UI for InnerClient system,SLS,Development,High,Medium,4-5 hours for 50 emails,Medium,False,CUSTOM,TBD,TSK-193,TST-193_Create_UI_for_InnerClient_system.json
TST-194,Set up human curation process,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-194,TST-194_Set_up_human_curation_process.json
TST-195,Sync Dropbox Tools library to libdev.com,DEV,Integration,High,Medium,5-10 minutes with AI assistance,Medium,False,CUSTOM,TBD,TSK-195,TST-195_Sync_Dropbox_Tools_library_to_libdev.com.json
TST-196,Research Dropbox API synchronization,DEV,Research,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-196,TST-196_Research_Dropbox_API_synchronization.json
TST-197,Build manual sync script (fallback),DGN,Development,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-197,TST-197_Build_manual_sync_script_(fallback).json
TST-198,Create knowledge gap identification process,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-198,TST-198_Create_knowledge_gap_identification_process.json
TST-199,Implement Read/Write/Save reminder system,AID,Development,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-199,TST-199_Implement_ReadWriteSave_reminder_system.json
TST-200,Monday call at 9 AM,DGN,Task,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-200,TST-200_Monday_call_at_9_AM.json
TST-201,Vilhelm + Yulya: Collect designer works,DGN,Design,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-201,TST-201_Vilhelm_+_Yulya_Collect_designer_works.json
TST-202,Implement designer work storage in Dropbox,DGN,Development,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-202,TST-202_Implement_designer_work_storage_in_Dropbox.json
TST-203,Document Monday progress,DGN,Documentation,High,Medium,2 hours (45 min organization + 45 min documentation + 30 min updates),Medium,False,CUSTOM,TBD,TSK-203,TST-203_Document_Monday_progress.json
TST-204,Create plans for next stage,DGN,Development,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-204,TST-204_Create_plans_for_next_stage.json
TST-205,Review all designer portfolios,DGN,Research,High,Medium,5-8 hours (3-5 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-205,TST-205_Review_all_designer_portfolios.json
TST-206,Mandate Dropbox work storage for designers,DGN,Design,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-206,TST-206_Mandate_Dropbox_work_storage_for_designers.json
TST-207,Create daily work documentation requirement,DGN,Development,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-207,TST-207_Create_daily_work_documentation_requirement.json
TST-208,Diversify designer portfolios,DGN,Design,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-208,TST-208_Diversify_designer_portfolios.json
TST-209,Build case studies library,DGN,Development,High,Medium,20-30 minutes,Medium,False,CUSTOM,TBD,TSK-209,TST-209_Build_case_studies_library.json
TST-210,Train designers on AI tools,AID,Design,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-210,TST-210_Train_designers_on_AI_tools.json
TST-211,Design financial framework structure,FIN,Design,High,Medium,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Medium,False,CUSTOM,TBD,TSK-211,TST-211_Design_financial_framework_structure.json
TST-212,Create data sets for financial wiki,FIN,Development,High,Medium,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Medium,False,CUSTOM,TBD,TSK-212,TST-212_Create_data_sets_for_financial_wiki.json
