Queue_Position,Task_ID,Task_Name,Priority,Department,Category,Blocking_Dependencies,Assigned_To,Estimated_Duration,Business_Impact,Complexity_Score,Quick_Win_Flag,Match_Confidence,Matched_Template
33,TSK-399,Conduct deep research on Desert Greener,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
34,TSK-400,Prepare pre-meeting research template,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
35,TSK-401,Schedule WhatsApp call with Wilhelm,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
36,TSK-402,Fix email personalization - add LinkedIn context,High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,CUSTOM
37,TSK-403,Create email template with conversation references,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
38,TSK-404,Implement deep research before email sending,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
39,TSK-405,Add clear next-step instructions for clients,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
40,TSK-406,Find substitute person for Vamos project,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
41,TSK-407,Talk to Dasha about retention,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
42,TSK-408,Identify issues causing quit desire,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
43,TSK-409,Create retention strategy,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
44,TSK-410,Retain Vamos employee (2 years tenure),High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
45,TSK-411,Resolve accounting/payment issues,High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,CUSTOM
46,TSK-412,Document retention process,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
47,TSK-413,Communicate final decision to MASEK client,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
48,TSK-414,Document client termination policy,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
49,TSK-415,Create script for daily notes action extraction,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
50,TSK-416,Build intermediate export folders structure,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
51,TSK-417,Implement object extraction after actions,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
52,TSK-418,Reduce token consumption via scripting,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
53,TSK-419,Integrate multiple AI platforms for processing,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
54,TSK-420,Continue data structuring work,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
55,TSK-421,Create deep research template (10-15 pages),High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
56,TSK-422,Build social media checklist (15 networks),High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
57,TSK-423,Integrate company context into research,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
58,TSK-424,"Create ""new lesson of the week"" system",High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
59,TSK-425,Document deep research in client folders,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
60,TSK-426,Export Week 3 tasks list,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
61,TSK-427,Deprecate old workflow system,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
62,TSK-428,Structure financial folder architecture,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
63,TSK-429,Create research list for Finance 2025,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
64,TSK-430,Build reports in ANALYTICS folder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
65,TSK-431,Generate prompts for financial analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
66,TSK-432,Create employee 1:1 session template,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
67,TSK-433,Export daily CRM attendance data,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
68,TSK-434,Build script to check employee file status,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
69,TSK-435,Verify Dropbox + VSCode + Extensions for all,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
70,TSK-436,Conduct manual verification by end of week,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
71,TSK-437,Use Overview folder data for analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
72,TSK-438,Create innovation rollout process,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
73,TSK-439,Decide: Team leads vs direct rollout,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
74,TSK-440,Create Cursor/Windsurf instructions,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
75,TSK-441,Build employee verification shifts,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
76,TSK-442,Assign department checkers,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
77,TSK-443,Create 2-week rollout timeline,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
78,TSK-444,Export Loom video titles,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
79,TSK-445,Export Loom transcriptions,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
80,TSK-446,Add remoteemployees.com content to assets,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
81,TSK-447,Build attendance statistics export system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
82,TSK-448,Create CRM API integration,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
83,TSK-449,Build Discord voice log export,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
84,TSK-450,Parse and analyze daily attendance,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
85,TSK-451,Create Discord tools documentation,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
86,TSK-452,Reverse name conventions in Task Manager,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
87,TSK-453,Remove department letters from filenames,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
88,TSK-454,Update data integrity hierarchy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
89,TSK-455,Update all prompts with old naming,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
90,TSK-456,Build similar/connected words in LIBRARIES,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
91,TSK-457,Create AI Catalog markdown file,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
92,TSK-458,Add AI Catalog to Assets index,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
93,TSK-459,Document AI Catalog content,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
94,TSK-460,Perform oa-y/Libraries/Task Managers gap analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
95,TSK-461,Create cross-reference index (tool→lesson→template),High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
96,TSK-462,Build research prompts for developer tutorials,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
97,TSK-463,Create File System research prompt v2,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
98,TSK-464,Add training/learning responsibilities to Libraries,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
99,TSK-465,Create weekly AI tutorial research template,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
100,TSK-466,Convert SMM research into Task Templates,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
101,TSK-467,Create unified research prompt schema,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
102,TSK-468,Integrate Research ID system (RES-###),High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
103,TSK-469,Add ISO 3-letter codes to research,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
104,TSK-470,Test entity upload to Postgres,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
105,TSK-471,Build matching schemas for consistency,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
106,TSK-472,Define deliverables as milestone templates,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
107,TSK-473,Maintain central listings while splitting by dept,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
108,TSK-474,Create ID and name control scripts,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
109,TSK-475,Build central IDs with names center,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
110,TSK-331,Create AI routes inside entity folders,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
111,TSK-332,Build index files for machine/AI access,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
112,TSK-333,Save schemas inside folders with field definitions,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
113,TSK-335,Create backend for DropBox SubEntity,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
114,TSK-336,Build alert system for fired/left employees,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
115,TSK-337,Connect Accounts to Talents profiles,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
116,TSK-338,Implement automatic access closure alerts,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
117,TSK-339,Track secondary accounts (not just main emails),High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
118,TSK-348,Create Auth User Service documentation,High,Development,Development,,AI Researcher / Developer,6-9 hours (4-6 hours research + 2-3 hours documentation),Internal,2,No,Medium,Task-Template-047
119,TSK-349,Review GPT usage and costs,High,Development,Research,,AI Researcher / Content Specialist,5-8 hours (3-5 hours research + 2-3 hours documentation),Internal,2,No,High,Task-Template-048
120,TSK-350,Identify cost-cutting opportunities,High,Finance,Task,,Finance Manager / Automation Specialist,3 hours (45 min requirements + 1.5 hours design + 45 min testing),Internal,2,No,Medium,Task-Template-081
121,TSK-351,Create taxonomy initial ID inventory,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
122,TSK-352,Generate JSON with all entities and sub-entities,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
123,TSK-353,Add 3-letter ISO codes to entities,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
124,TSK-354,Cross-validate with existing listings,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
125,TSK-355,Document deprecated/archived entities,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
126,TSK-356,Update milestone prefix from MLS-### to MLST-###,High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,CUSTOM
127,TSK-357,Filter daily notes by taxonomy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
128,TSK-358,Build parsing extraction taxonomy,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
129,TSK-359,Identify repetitions in daily notes,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
130,TSK-360,Create PLANS entity folder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
131,TSK-361,Create YouTube channels list,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
132,TSK-362,Parse latest videos from channels,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
133,TSK-363,Analyze video relevancy,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
134,TSK-364,Build YouTube research milestone template,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
135,TSK-365,Log all n8n automations,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
136,TSK-366,Create n8n workflow documentation,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
137,TSK-367,Build Google Sheets integration workflow,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
138,TSK-368,Create bot as separate milestone template,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
139,TSK-369,Build AI agent for n8n analysis,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
140,TSK-371,Create 10+ example n8n projects,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
141,TSK-372,Implement daily analysis prompt reminder,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
142,TSK-373,Build continuous employee profile improvement system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
143,TSK-374,Integrate attendance with employee profiles,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
144,TSK-375,Analyze employee daily records,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
145,TSK-376,Create data injection scripts for daily notes,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
146,TSK-377,Build action/object extraction from daily notes,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
147,TSK-378,Update employee profiles automatically,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
148,TSK-379,Update Prompt 6 for daily analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
149,TSK-380,Create task template schema,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
150,TSK-381,Link actions/objects to responsibilities,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
151,TSK-382,Match research prompt naming conventions,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
152,TSK-383,Parse recent videos for LinkedIn content,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
153,TSK-384,Create carousel posts from video content,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
154,TSK-385,Build automated posting workflow,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
155,TSK-386,Design step-by-step content templates,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
156,TSK-387,Design microservice methodology,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
157,TSK-388,Test backend generation on small entity,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
158,TSK-390,Create dynamic Postgres generation,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
159,TSK-391,Organize API tokens management,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
160,TSK-392,Fix taxonomy location (move if needed),High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,CUSTOM
161,TSK-393,Integrate checklist items into task system,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
162,TSK-394,Fix cursor flickering issue,High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,CUSTOM
163,TSK-320,Implement Entity Identification System v1.0,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
164,TSK-321,Set up multi-instance AI tool workflow,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
165,TSK-322,Deploy Google AntiGravity for team,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
166,TSK-323,Automate daily employee task assignment,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
167,TSK-324,Build employee choice/selection system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
168,TSK-325,Collect Discord voice logs for analytics,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
169,TSK-326,Process department prompt logs daily,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
170,TSK-327,Convert Workflows to Projects in TASK_MANAGERS,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
171,TSK-328,Assign IDs to all ENTITIES folders,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
172,TSK-329,"Create MCP agent system (employees, libs, academy)",High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
173,TSK-330,Build screenshot verification automation,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
174,TSK-233,Create department-specific daily analysis prompts,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
175,TSK-234,Build starting point reference guides,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
176,TSK-235,Iterate prompts for better report quality,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
177,TSK-236,Process tutorials from Department DropBox,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
178,TSK-237,Find and download Google Drive guides in Markdown,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
179,TSK-238,Export and process from Online Academy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
180,TSK-239,Create REPORTS folder in ENTITIES,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
181,TSK-240,Add taxonomy for REPORTS entity,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
182,TSK-241,Integrate IDS system (RPT-###),High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
183,TSK-242,Import example reports,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
184,TSK-243,Create report classification system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
185,TSK-244,Update master taxonomy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
186,TSK-245,Create Tasks folder in Dailies,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
187,TSK-246,Create Plans folder in Dailies,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
188,TSK-247,Add employee identification system,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
189,TSK-248,Cross-reference Task Manager with Online Academy,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
190,TSK-249,Store Online Academy links in guides,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
191,TSK-250,Add IDs to Online Academy content,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
192,TSK-251,Apply taxonomy to Academy structure,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
193,TSK-252,Create detailed onboarding tasks with steps,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
194,TSK-253,Build progress tracking via task IDs in reports,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
195,TSK-254,Create data flow clarification project,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
196,TSK-255,Run methodologies skill-up project research,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
197,TSK-256,Create VS Code instruction tutorials,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
198,TSK-257,Implement logging to LOG folder during data population,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
199,TSK-258,Implement TSM-### ID system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
200,TSK-259,Create TSM-001_Project_Template,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
201,TSK-260,Document data import flows,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
202,TSK-261,Define structured vs unstructured data handling,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
203,TSK-262,"Create input type taxonomy (Research, Video, etc.)",High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
204,TSK-263,Create employee TODO file system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
205,TSK-264,Write learning materials generation guide,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
206,TSK-265,"Enforce ""prompt-first"" rule",High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
207,TSK-266,Create taxonomy introduction materials,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
208,TSK-267,Update daily review prompts,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
209,TSK-268,Locate all department prompts in Nov25 folders,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
210,TSK-269,Consolidate prompts to ENTITIES/PROMPTS,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
211,TSK-270,Create data import scripts,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
212,TSK-271,Research AirTable integration options,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
213,TSK-272,Design Task Manager choice/selection system,High,AI,Design,,TBD,TBD,Internal,2,No,High,CUSTOM
214,TSK-273,Import accounts to ENTITIES,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
215,TSK-274,Create accounts microservice,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
216,TSK-275,Bind gmails to tools,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
217,TSK-276,Integrate accounts into AI Catalog,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
218,TSK-277,Build user login system with gmail,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
219,TSK-278,Set up database for accounts,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
220,TSK-279,Create reusable microservice template,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
221,TSK-280,Document departments folder architecture,High,AI,Documentation,,TBD,TBD,Internal,2,No,High,CUSTOM
222,TSK-281,Restore data processes pipelines,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
223,TSK-282,Create clear file location guidance,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
224,TSK-283,Build progress count updating script,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
225,TSK-284,Create tasks import guide,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
226,TSK-285,Add dates to Activity 3,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
227,TSK-286,Verify LG data in DropBox,High,AI,Testing,,TBD,TBD,Internal,2,No,High,CUSTOM
228,TSK-287,Process items in IMPORTS folder,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
229,TSK-288,Create list of reserved names in ENTITIES,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
230,TSK-289,Create list of videos to transcribe,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
231,TSK-290,Put video transcriptions into people tasks,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
232,TSK-291,Run prompts for video search,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
233,TSK-292,Purchase Gemini Ultra on Admin account,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
234,TSK-293,Create transcription execution list with IDs,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
235,TSK-294,Build execution tracking system,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
236,TSK-295,Create execution update guides,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
237,TSK-296,Define next milestone triggers (Data Population),High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
238,TSK-297,Create Content Entity,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
239,TSK-298,Create Content Department,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
240,TSK-299,Integrate shifts management,High,AI,Integration,,TBD,TBD,Internal,2,No,High,CUSTOM
