Tool_ID,Tool_Name,Category,Mention_Count,Priority,Departments,Filename,Source
TOL-114,MCP_Servers,AI Tools,87,CRITICAL,None,MCP_Servers.json,File System
TOL-115,The_Dots,Other Tools,85,CRITICAL,None,The_Dots.json,File System
TOL-116,Auth0,Other Tools,80,CRITICAL,None,Auth0.json,File System
TOL-117,CodeRabbit,AI Tools,80,CRITICAL,None,CodeRabbit.json,File System
TOL-118,LeadsRapidly,Automation Tools,80,CRITICAL,None,LeadsRapidly.json,File System
TOL-119,Browserbase,AI Tools,76,CRITICAL,None,Browserbase.json,File System
TOL-120,Leonardo.ai,AI Tools,76,CRITICAL,Designers,Leonardo_AI.json,Master Listing
TOL-121,MiniMax,AI Tools,76,CRITICAL,None,MiniMax.json,Master Listing
TOL-122,Dropbox_Dash,AI Tools,73,CRITICAL,None,Dropbox_Dash.json,File System
TOL-123,AmpleLeads,Automation Tools,72,CRITICAL,None,AmpleLeads.json,File System
TOL-124,C dans,AI Tools,72,CRITICAL,None,Cdans.json,File System
TOL-125,DigitalOcean,Other Tools,72,CRITICAL,None,DigitalOcean.json,File System
TOL-126,Hailo,AI Tools,72,CRITICAL,None,Hailo.json,Master Listing
TOL-127,Ollama,AI Tools,72,CRITICAL,None,Ollama.json,File System
TOL-128,Sentry,Development Tools,72,CRITICAL,None,Sentry.json,File System
TOL-129,ExportApollo,Automation Tools,68,CRITICAL,None,ExportApollo.json,File System
TOL-130,Google Calendar MCP Connector,MCP Services,68,CRITICAL,None,Google_Calendar_MCP_Connector.json,File System
TOL-131,Valkey,Other Tools,68,CRITICAL,None,Valkey.json,File System
TOL-132,shadcn/ui,Development Tools,68,CRITICAL,None,shadcn_ui.json,File System
TOL-133,CrewAI,AI Tools,64,CRITICAL,None,CrewAI.json,File System
TOL-134,DeepSite,AI Tools,60,CRITICAL,None,DeepSite.json,Master Listing
TOL-135,Firecrawl,Other Tools,60,CRITICAL,None,Firecrawl.json,File System
TOL-136,Kimi_K2_Thinking,AI Tools,58,CRITICAL,None,Kimi_K2_Thinking.json,File System
TOL-137,Manus.im,AI Tools,56,CRITICAL,None,Manus_im.json,Master Listing
TOL-138,Caddy,Other Tools,52,CRITICAL,None,Caddy.json,File System
TOL-139,Cove.ai,AI Tools,50,CRITICAL,None,Cove_ai.json,Master Listing
TOL-140,RunPod,Other Tools,48,CRITICAL,None,RunPod.json,File System
TOL-141,WHALESWING,AI Tools,48,CRITICAL,None,WHALESWING.json,Master Listing
TOL-142,Bubble.io,AI Tools,46,CRITICAL,None,Bubble_io.json,Master Listing
TOL-143,Company_Voice_Guide,AI Tools,45,CRITICAL,None,Company_Voice_Guide.json,File System
TOL-144,Movie Gen,AI Tools,44,CRITICAL,None,MovieGen.json,File System
TOL-145,Zep,AI Tools,44,CRITICAL,None,Zep.json,File System
TOL-146,SearXNG,AI Tools,40,CRITICAL,None,SearXNG.json,File System
TOL-147,Vozo AI,AI Tools,40,CRITICAL,Video,Vozo_AI.json,Master Listing
TOL-148,Pollo.ai,AI Tools,38,CRITICAL,None,Pollo_ai.json,Master Listing
TOL-149,Claude Projects,AI Tools,36,CRITICAL,None,Claude_Projects.json,File System
TOL-150,Smithery.ai,AI Tools,34,CRITICAL,None,Smithery_ai.json,Master Listing
TOL-151,Genspark.ai,AI Tools,32,CRITICAL,None,Genspark_ai.json,Master Listing
TOL-152,Open WebUI,AI Tools,32,CRITICAL,None,Open_WebUI.json,File System
TOL-153,Notion AI,AI Tools,28,CRITICAL,AI,Notion_AI.json,Master Listing
TOL-154,Vectal Pro,AI Tools,28,CRITICAL,None,Vectal_Pro.json,Master Listing
TOL-155,Model Scope,Other Tools,24,CRITICAL,None,Model_Scope.json,File System
TOL-156,Custom_Prompt_Templates,AI Tools,21,CRITICAL,None,Custom_Prompt_Templates.json,File System
TOL-157,Brave Search,Other Tools,20,CRITICAL,None,Brave_Search.json,File System
TOL-158,Freepik,AI Tools,20,CRITICAL,Design,Freepik.json,Master Listing
TOL-159,Lunchclub,Other Tools,20,CRITICAL,None,Lunchclub.json,File System
TOL-160,Suno,AI Tools,20,CRITICAL,Video,Suno.json,Master Listing
TOL-161,TurboScribe,AI Tools,20,CRITICAL,Video,TurboScribe.json,Master Listing
TOL-162,MCP (Model Context Protocol),MCP Services,15,HIGH,None,MCP_Protocol.json,File System
TOL-163,Arcade.ai,AI Tools,14,HIGH,None,Arcade_ai.json,File System
TOL-164,awesome_copilot,AI Tools,13,HIGH,None,awesome_copilot.json,File System
TOL-165,Dropbox_Protect_and_Control,Other Tools,12,HIGH,None,Dropbox_Protect_and_Control.json,File System
TOL-166,Product_Management_Decision_Framework,Other Tools,12,HIGH,None,Product_Management_Decision_Framework.json,File System
TOL-167,Adobe Firefly,AI Tools,8,MEDIUM,Design,Adobe_Firefly.json,Master Listing
TOL-168,Adobe Premiere Pro,Other Tools,8,MEDIUM,None,Premiere_Pro.json,File System
TOL-169,Envato Elements,AI Tools,8,MEDIUM,Design,Envato_Elements.json,Master Listing
TOL-170,InVideo AI,AI Tools,8,MEDIUM,Video,InVideo_AI.json,Master Listing
TOL-171,Wispr Flow,AI Tools,8,MEDIUM,"AI, Dev, Design, LG, Sales, HR, Finance, Video",Wispr_Flow.json,Master Listing
TOL-172,ChatGPT (OpenAI),AI Tools,7,MEDIUM,"LG (Primary), Sales, Marketing, HR",ChatGPT.json,Master Listing
TOL-173,LLM_as_Judge_Evaluation_Framework,AI Tools,6,MEDIUM,None,LLM_as_Judge_Evaluation_Framework.json,File System
TOL-174,Apify TikTok Scraper,Development Tools,4,LOW,None,Apify_TikTok_Scraper.json,File System
TOL-175,Visual Studio Code (VS Code),Development Tools,4,LOW,None,VS_Code.json,File System
TOL-177,CRM MCP Connector (Airtable),MCP Services,2,LOW,None,CRM_MCP_Connector.json,File System
TOL-MCP-001,OAY MCP Service,MCP Services,0,NEW,"AI, Education, Training, HR",TOL-MCP-001_OAY_MCP_Service.json,Created
