Task_ID,Task_Name,Original_Department,Reclassified_Department,Category,Priority,Matched_Template_ID,Match_Confidence,Match_Score,Match_Reasoning,Estimated_Duration,Complexity,Required_Skills,Required_Tools,Template_Steps_Count,Template_Profession,Matched_Responsibility
TSK-415,Create script for daily notes action extraction,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-416,Build intermediate export folders structure,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-417,Implement object extraction after actions,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-418,Reduce token consumption via scripting,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-419,Integrate multiple AI platforms for processing,AI,AI,Integration,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (integration),N/A,N/A,,,0,N/A,N/A
TSK-420,Continue data structuring work,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-421,Create deep research template (10-15 pages),AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-422,Build social media checklist (15 networks),AI,SMM,Development,High,Task-Template-047,Medium,35,Category in template name; Action keyword match (develop),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Text editor (VS Code/Cursor), Lovable.dev (hands-on testing), v0.dev (free testing)",9,AI Researcher / Developer,N/A
TSK-423,Integrate company context into research,AI,AI,Research,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (research),N/A,N/A,,,0,N/A,N/A
TSK-424,"Create ""new lesson of the week"" system",AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-425,Document deep research in client folders,AI,Sales,Research,High,Task-Template-045,Medium,50,Category match (research); Action keyword match (research); Text similarity (1 common words),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Google Search, Text editor (VS Code/Cursor), Spreadsheet tool (for comparison matrices)",8,AI Researcher / Video Production Specialist,manage sales pipeline
TSK-426,Export Week 2 tasks list,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-427,Deprecate old workflow system,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-428,Structure financial folder architecture,AI,Finance,Task,High,Task-Template-081,Medium,45,Department match (Finance); Text similarity (1 common words),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-429,Create research list for Finance 2025,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-430,Build reports in ANALYTICS folder,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-431,Generate prompts for financial analysis,AI,Finance,Task,High,Task-Template-081,Medium,45,Department match (Finance); Text similarity (1 common words),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-432,Create employee 1:1 session template,AI,HR,Development,High,Task-Template-041,Medium,55,Department match (HR); Action keyword match (build),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-433,Export daily CRM attendance data,AI,HR,Task,High,Task-Template-039,Medium,40,Department match (HR),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-434,Build script to check employee file status,AI,HR,Development,High,Task-Template-041,High,60,Department match (HR); Action keyword match (build); Text similarity (1 common words),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-435,Verify Dropbox + VSCode + Extensions for all,AI,AI,Testing,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (testing),N/A,N/A,,,0,N/A,N/A
TSK-436,Conduct manual verification by end of week,AI,HR,Task,High,Task-Template-039,Medium,40,Department match (HR),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-437,Use Overview folder data for analysis,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-438,Create innovation rollout process,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-439,Decide: Team leads vs direct rollout,AI,Lead Generation,Task,High,Task-Template-080,High,65,Department match (Lead Generation); Tool match (CRM); Text similarity (1 common words),3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),N/A,,"CRM system (HubSpot, Salesforce, Pipedrive), LinkedIn and LinkedIn Sales Navigator, TOL-092 (Discord) for team communication, TOL-045 (Google Sheets) for lead tracking, Email finder tools (Hunter.io, Apollo.io)",7,Lead Generation Specialist / Sales Development Rep,generate leads
TSK-440,Create Cursor/Windsurf instructions,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-441,Build employee verification shifts,AI,HR,Development,High,Task-Template-041,High,60,Department match (HR); Action keyword match (build); Text similarity (1 common words),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-442,Assign department checkers,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-443,Create 2-week rollout timeline,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-444,Export Loom video titles,AI,Video,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,produce videos
TSK-445,Export Loom transcriptions,AI,Video,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,produce videos
TSK-446,Add remoteemployees.com content to assets,AI,HR,Task,High,Task-Template-039,Medium,40,Department match (HR),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-447,Build attendance statistics export system,AI,HR,Development,High,Task-Template-041,High,60,Department match (HR); Action keyword match (build); Text similarity (1 common words),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-448,Create CRM API integration,AI,Development,Development,High,Task-Template-011,Medium,35,Partial department match; Action keyword match (feature),1-2 minutes,Low,,TOOL-AI-030 (Claude Desktop App),6,AI Engineer,N/A
TSK-449,Build Discord voice log export,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-450,Parse and analyze daily attendance,AI,HR,Research,High,Task-Template-045,Medium,45,Category match (research); Action keyword match (research),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Google Search, Text editor (VS Code/Cursor), Spreadsheet tool (for comparison matrices)",8,AI Researcher / Video Production Specialist,N/A
TSK-451,Create Discord tools documentation,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-452,Reverse name conventions in Task Manager,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-453,Remove department letters from filenames,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-454,Update data integrity hierarchy,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-455,Update all prompts with old naming,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-456,Build similar/connected words in LIBRARIES,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-457,Create AI Catalog markdown file,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-458,Add AI Catalog to Assets index,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-459,Document AI Catalog content,AI,SMM,Documentation,High,Task-Template-045,Medium,35,Category in template name; Action keyword match (document),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Google Search, Text editor (VS Code/Cursor), Spreadsheet tool (for comparison matrices)",8,AI Researcher / Video Production Specialist,N/A
TSK-460,Perform oa-y/Libraries/Task Managers gap analysis,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-461,Create cross-reference index (tool→lesson→template),AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-462,Build research prompts for developer tutorials,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-463,Create File System research prompt v2,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-464,Add training/learning responsibilities to Libraries,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-465,Create weekly AI tutorial research template,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-466,Convert SMM research into Task Templates,AI,SMM,Research,High,Task-Template-045,Medium,50,Category match (research); Action keyword match (research); Text similarity (1 common words),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Google Search, Text editor (VS Code/Cursor), Spreadsheet tool (for comparison matrices)",8,AI Researcher / Video Production Specialist,N/A
TSK-467,Create unified research prompt schema,AI,Development,Development,High,Task-Template-047,Medium,40,Category in template name; Action keyword match (develop); Text similarity (1 common words),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Text editor (VS Code/Cursor), Lovable.dev (hands-on testing), v0.dev (free testing)",9,AI Researcher / Developer,N/A
TSK-468,Integrate Research ID system (RES-###),AI,AI,Research,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (research),N/A,N/A,,,0,N/A,N/A
TSK-469,Add ISO 3-letter codes to research,AI,AI,Research,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (research),N/A,N/A,,,0,N/A,N/A
TSK-470,Test entity upload to Postgres,AI,AI,Testing,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (testing),N/A,N/A,,,0,N/A,N/A
TSK-471,Build matching schemas for consistency,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-472,Define deliverables as milestone templates,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-473,Maintain central listings while splitting by dept,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-474,Create ID and name control scripts,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-475,Build central IDs with names center,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-331,Create AI routes inside entity folders,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-332,Build index files for machine/AI access,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-333,Save schemas inside folders with field definitions,AI,Development,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-334,Sync Task Template to backend,Development,Development,Integration,High,Task-Template-010,Medium,35,Partial department match; Action keyword match (connect),5-10 minutes with AI assistance,Medium,"SKL-071 (deployed MCP connectors via Cursor), SKL-075 (configured OAuth for Google APIs - if needed)","TOOL-DEV-026 (Cursor), TOOL-AI-030 (Claude Desktop App), TOOL-DEV-027 (Google Cloud Console - for OAuth)",8,AI Engineer,N/A
TSK-335,Create backend for DropBox SubEntity,AI,Development,Development,High,Task-Template-074,Medium,40,"Tool match (Dropbox, Entity System)",1.5 hours (30 min automation run + 45 min validation + 15 min reporting),N/A,,"TOL-002 (Claude) for AI entity extraction, TOL-045 (Google Sheets) for data consolidation, TOL-003 (Gemini 3 Pro) for validation and QA, Python scripts for automation, File system access to Dropbox/ENTITIES folders",8,AI Engineer / Data Analyst,N/A
TSK-336,Build alert system for fired/left employees,AI,HR,Development,High,Task-Template-041,High,60,Department match (HR); Action keyword match (build); Text similarity (1 common words),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-337,Connect Accounts to Talents profiles,AI,HR,Integration,High,Task-Template-039,Medium,55,Department match (HR); Action keyword match (n8n),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-338,Implement automatic access closure alerts,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-339,Track secondary accounts (not just main emails),AI,Sales,Task,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-340,Design country-based job account permissions,Development,Sales,Design,High,TST-073_Behance_Step_03_Design_Cover_Image,Medium,50,Category match (design); Action keyword match (design); Text similarity (1 common words),20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,manage sales pipeline
TSK-341,Implement team lead access limits,Development,Lead Generation,Development,High,Task-Template-072,Medium,40,Category in template name; Action keyword match (develop); Text similarity (1 common words),2 hours (30 min install + 1 hour config + 30 min testing),N/A,,"TOL-221 (Antigravity IDE) or TOL-201 (Cursor), TOL-003 (Gemini 3 Pro) for AI coding assistance, TOL-002 (Claude) for code review features, Git/GitHub Desktop, Package managers (npm, pip, etc.)",7,AI Engineer / DevOps Engineer,generate leads
TSK-342,Build role-based account access system,Development,Sales,Development,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-343,Create account manager interface,Development,Sales,Development,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-344,Add Balkans as region in system,Design,Design,Task,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-345,Design permission system architecture,Development,Design,Design,High,TST-073_Behance_Step_03_Design_Cover_Image,High,90,Department match (Design); Category match (design); Action keyword match (design); Text similarity (1 common words),20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-346,Implement employee-based permissions,Development,HR,Development,High,Task-Template-041,Medium,55,Department match (HR); Action keyword match (build),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-347,Implement profession/role-based permissions,Development,Development,Development,High,Task-Template-011,Medium,35,Partial department match; Action keyword match (feature),1-2 minutes,Low,,TOOL-AI-030 (Claude Desktop App),6,AI Engineer,N/A
TSK-348,Create Auth User Service documentation,Development,Development,Development,High,Task-Template-047,Medium,40,Category in template name; Action keyword match (develop); Text similarity (1 common words),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Text editor (VS Code/Cursor), Lovable.dev (hands-on testing), v0.dev (free testing)",9,AI Researcher / Developer,N/A
TSK-349,Review GPT usage and costs,Development,Finance,Research,High,Task-Template-048,High,65,Category match (research); Action keyword match (research); Tool match (AI Tools),5-8 hours (3-5 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Text editor (VS Code/Cursor), Gamma.app (hands-on testing), Loom (hands-on testing)",9,AI Researcher / Content Specialist,N/A
TSK-350,Identify cost-cutting opportunities,Finance,Finance,Task,High,Task-Template-081,Medium,40,Department match (Finance),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-351,Create taxonomy initial ID inventory,AI,Finance,Development,High,Task-Template-081,Medium,40,Department match (Finance),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-352,Generate JSON with all entities and sub-entities,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-353,Add 3-letter ISO codes to entities,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-354,Cross-validate with existing listings,AI,AI,Testing,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (testing),N/A,N/A,,,0,N/A,N/A
TSK-355,Document deprecated/archived entities,AI,AI,Documentation,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (documentation),N/A,N/A,,,0,N/A,N/A
TSK-356,Update milestone prefix from MLS-### to MLST-###,AI,AI,Maintenance,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (maintenance),N/A,N/A,,,0,N/A,N/A
TSK-357,Filter daily notes by taxonomy,AI,Finance,Task,High,Task-Template-081,Medium,40,Department match (Finance),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-358,Build parsing extraction taxonomy,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-359,Identify repetitions in daily notes,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-360,Create PLANS entity folder,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-361,Create YouTube channels list,AI,Video,Development,High,Task-Template-047,Medium,35,Category in template name; Action keyword match (develop),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Text editor (VS Code/Cursor), Lovable.dev (hands-on testing), v0.dev (free testing)",9,AI Researcher / Developer,produce videos
TSK-362,Parse latest videos from channels,AI,Video,Testing,High,TST-023_File_Count_Distribution,Medium,30,Category match (testing),N/A,N/A,,,0,N/A,produce videos
TSK-363,Analyze video relevancy,AI,Video,Research,High,Task-Template-045,High,70,Partial department match; Category match (research); Action keyword match (research); Text similarity (1 common words),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Google Search, Text editor (VS Code/Cursor), Spreadsheet tool (for comparison matrices)",8,AI Researcher / Video Production Specialist,produce videos
TSK-364,Build YouTube research milestone template,AI,Video,Development,High,Task-Template-047,Medium,40,Category in template name; Action keyword match (develop); Text similarity (1 common words),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Text editor (VS Code/Cursor), Lovable.dev (hands-on testing), v0.dev (free testing)",9,AI Researcher / Developer,produce videos
TSK-365,Log all n8n automations,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-366,Create n8n workflow documentation,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-367,Build Google Sheets integration workflow,AI,Design,Development,High,TST-073_Behance_Step_03_Design_Cover_Image,High,60,Department match (Design); Category in template name,20-30 minutes,N/A,,"Photoshop, Figma",0,N/A,design UI mockups
TSK-368,Create bot as separate milestone template,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
