Entity_ID,Entity_Name,Entity_Type,Department,Category,File_Path,Count,Status
OBJ-007,Video Deliverables,Objects,Video Production,Domain,LIBRARIES/Responsibilities/Objects/Video_Deliverables.json,15,Active
OBJ-008,Video Generation Objects,Objects,Video Production,Domain,LIBRARIES/Responsibilities/Objects/Video_Generation_Objects.json,8,Active
OBJ-009,Social Media Deliverables,Objects,Marketing,Domain,LIBRARIES/Responsibilities/Objects/Social_Media_Deliverables.json,10,Active
OBJ-010,Recruitment Objects,Objects,Human Resources,Domain,LIBRARIES/Responsibilities/Objects/Recruitment_Objects.json,6,Active
OBJ-011,Documents,Objects,Multi-Department,General,LIBRARIES/Responsibilities/Objects/Documents.json,12,Active
OBJ-012,Interactive Elements,Objects,Design,Domain,LIBRARIES/Responsibilities/Objects/Interactive_Elements.json,7,Active
OBJ-013,Portfolio Deliverables,Objects,Design,Domain,LIBRARIES/Responsibilities/Objects/Portfolio_Deliverables.json,5,Active
OBJ-014,Publishing Deliverables,Objects,Marketing,Domain,LIBRARIES/Responsibilities/Objects/Publishing_Deliverables.json,8,Active
OBJ-015,Mascot Sets,Objects,Design,Domain,LIBRARIES/Responsibilities/Objects/Mascot_Sets.json,4,Active
OBJ-016,Online Academy Lessons,Objects,Marketing,Domain,LIBRARIES/Responsibilities/Objects/Online_Academy_Lessons.json,6,Active
OBJ-017,Catalog Documentation,Objects,Multi-Department,General,LIBRARIES/Responsibilities/Objects/Catalog_Documentation.json,5,Active
PRM-001,Designers Parameters,Parameters,Design,By Profession,LIBRARIES/Responsibilities/Parameters/By_Profession/graphic_designer_parameters.json,25,Active
PRM-002,Developers Parameters,Parameters,Development,By Profession,LIBRARIES/Responsibilities/Parameters/By_Profession/back_end_developer_parameters.json,30,Active
PRM-003,Lead Generator Parameters,Parameters,Lead Generation,By Profession,LIBRARIES/Responsibilities/Parameters/By_Profession/lead_generator_parameters.json,28,Active
PRM-004,Recruiter Parameters,Parameters,Human Resources,By Profession,LIBRARIES/Responsibilities/Parameters/By_Profession/recruiter_parameters.json,22,Active
PRM-005,Project Manager Parameters,Parameters,Operations,By Profession,LIBRARIES/Responsibilities/Parameters/By_Profession/project_manager_parameters.json,24,Active
PRM-006,Sales Manager Parameters,Parameters,Sales,By Profession,LIBRARIES/Responsibilities/Parameters/By_Profession/sales_manager_parameters.json,20,Active
PRM-007,SEO Manager Parameters,Parameters,Marketing,By Profession,LIBRARIES/Responsibilities/Parameters/By_Profession/seo_manager_parameters.json,18,Active
PRM-008,General Parameters,Parameters,Multi-Department,General,LIBRARIES/Responsibilities/Parameters/By_Profession/general_parameters.json,35,Active
TOL-001,AI Tools Master Listing,Tools,AI,Category,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/AI_Tools_Master_Listing.json,80,Active
TOL-002,Claude,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Claude.json,1,Active
TOL-003,ChatGPT,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/ChatGPT.json,1,Active
TOL-004,Gemini,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Gemini.json,1,Active
TOL-005,Midjourney,Tools,AI,Image Generation,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Midjourney.json,1,Active
TOL-006,Leonardo AI,Tools,AI,Image Generation,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Leonardo_AI.json,1,Active
TOL-007,Video Generation AI Tools,Tools,Video Production,Video AI,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Video Generation,14,Active
TOL-008,Development Tools,Tools,Development,Category,LIBRARIES/LBS_003_LBS_003_Tools/Development_Tools,25,Active
TOL-009,Automation Tools,Tools,Operations,Category,LIBRARIES/LBS_003_LBS_003_Tools/Automation_Tools,6,Active
TOL-010,Databases,Tools,Development,Category,LIBRARIES/LBS_003_LBS_003_Tools/Databases,7,Active
TOL-011,Cloud Platforms,Tools,Operations,Category,LIBRARIES/LBS_003_LBS_003_Tools/Cloud_Platforms,6,Active
TOL-012,Social Media Platforms,Tools,Marketing,Category,LIBRARIES/LBS_003_LBS_003_Tools/Social_Media_Platforms,6,Active
TOL-013,Business Tools,Tools,Operations,Category,LIBRARIES/LBS_003_LBS_003_Tools/Business_Tools,4,Active
TOL-014,Data Tools,Tools,Development,Category,LIBRARIES/LBS_003_LBS_003_Tools/Data_Tools,3,Active
TOL-015,Integration Tools,Tools,Development,Category,LIBRARIES/LBS_003_LBS_003_Tools/Integration_Tools,3,Active
TOL-016,Authentication Tools,Tools,Development,Category,LIBRARIES/LBS_003_LBS_003_Tools/Authentication_Tools,1,Active
TOL-017,Security Tools,Tools,Operations,Category,LIBRARIES/LBS_003_LBS_003_Tools/Security_Tools,1,Active
TOL-018,Payment Tools,Tools,Operations,Category,LIBRARIES/LBS_003_LBS_003_Tools/Payment_Tools,1,Active
TOL-019,File Management,Tools,Operations,Category,LIBRARIES/LBS_003_LBS_003_Tools/File_Management,1,Active
TOL-020,Video Editing Tools,Tools,Video Production,Category,LIBRARIES/LBS_003_LBS_003_Tools/Video_Editing_Tools,1,Active
TOL-021,Web Tools,Tools,Development,Category,LIBRARIES/LBS_003_LBS_003_Tools/Web_Tools,3,Active
PRF-001,AI Engineer,Professions,AI,Role,LIBRARIES/LBS_005_LBS_005_Professions/AI_Engineer.json,1,Active
PRF-002,Automation Engineer,Professions,AI,Role,LIBRARIES/LBS_005_LBS_005_Professions/Automation_Engineer.json,1,Active
PRF-003,Automation Specialist,Professions,AI,Role,LIBRARIES/LBS_005_LBS_005_Professions/Automation_Specialist.json,1,Active
PRF-004,Backend Developer,Professions,Development,Role,LIBRARIES/LBS_005_LBS_005_Professions/Backend_Developer.json,1,Active
PRF-005,Developer,Professions,Development,Role,LIBRARIES/LBS_005_LBS_005_Professions/Developer.json,1,Active
PRF-006,Designer,Professions,Design,Role,LIBRARIES/LBS_005_LBS_005_Professions/Designer.json,1,Active
PRF-007,Lead Generator,Professions,Lead Generation,Role,LIBRARIES/LBS_005_LBS_005_Professions/Lead_Generator.json,1,Active
PRF-008,Marketer,Professions,Marketing,Role,LIBRARIES/LBS_005_LBS_005_Professions/Marketer.json,1,Active
PRF-009,Recruiter,Professions,Human Resources,Role,LIBRARIES/LBS_005_LBS_005_Professions/Recruiter.json,1,Active
PRF-010,Account Executive,Professions,Sales,Role,LIBRARIES/LBS_005_LBS_005_Professions/Account_Executive.json,1,Active
PRF-011,Customer Success Manager,Professions,Sales,Role,LIBRARIES/LBS_005_LBS_005_Professions/Customer_Success_Manager.json,1,Active
PRF-012,Executive Assistant,Professions,Operations,Role,LIBRARIES/LBS_005_LBS_005_Professions/Executive_Assistant.json,1,Active
PRF-013,Operations Manager,Professions,Operations,Role,LIBRARIES/LBS_005_LBS_005_Professions/Operations_Manager.json,1,Active
PRF-014,SDR,Professions,Sales,Role,LIBRARIES/LBS_005_LBS_005_Professions/SDR.json,1,Active
PRF-015,SMM Specialist,Professions,Marketing,Role,LIBRARIES/LBS_005_LBS_005_Professions/SMM_Specialist.json,1,Active
PRF-016,Videographer,Professions,Video Production,Role,LIBRARIES/LBS_005_LBS_005_Professions/Videographer.json,1,Active
PRF-017,Professions Master,Professions,Multi-Department,Master,LIBRARIES/LBS_005_LBS_005_Professions/Master/professions.json,17,Active
DPT-001,Departments Master,Departments,Multi-Department,Master,LIBRARIES/LBS_006_Departments/Master/departments.json,10,Active
DPT-002,AI Department Data,Departments,AI,Department-Specific,LIBRARIES/LBS_006_Departments/By_Department/AI,9,Active
DPT-003,SMM Department Data,Departments,Marketing,Department-Specific,LIBRARIES/LBS_006_Departments/By_Department/SMM,2,In Progress
