"New_ID","Name","Description","Department","File_Path","Status"
"TST-006","Bright Data Email Enrichment","Email enrichment using Bright Data services","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-006_Bright_Data_Email_Enrichment.json","Active"
"TST-007","Create Job Posting Template","Create and publish job posting templates in Notion","HRM","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-007_Create_Job_Posting_Template.json","Active"
"TST-008","Create MCP Connector","Generate Model Context Protocol connector using Claude Skills","DEV","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-008_Create_MCP_Connector.json","Active"
"TST-009","Custom Niche Platform Scraping","Scrape data from custom niche platforms","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-009_Custom_Niche_Platform_Scraping.json","Active"
"TST-010","Deploy MCP Connector Locally","Deploy MCP connector to local development environment","DEV","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-010_Deploy_MCP_Connector_Locally.json","Active"
"TST-011","Enable Claude Skills Feature","Enable and configure Claude Skills in Claude Desktop","DEV","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-011_Enable_Claude_Skills_Feature.json","Active"
"TST-012","Enterprise Email Arbitrage","Execute email enrichment arbitrage strategy for cost optimization","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-012_Enterprise_Email_Arbitrage.json","Active"
"TST-013","Google Maps Local Business Scraping","Scrape local business data from Google Maps","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-013_Google_Maps_Local_Business_Scraping.json","Active"
"TST-014","Google SERP Lead Generation","Generate leads from Google search engine results pages","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-014_Google_SERP_Lead_Generation.json","Active"
"TST-015","Instagram Influencer Scraping","Scrape influencer data from Instagram platform","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-015_Instagram_Influencer_Scraping.json","Active"
"TST-016","Instantly AI Email Enrichment","Email enrichment using Instantly AI platform","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-016_Instantly_AI_Email_Enrichment.json","Active"
"TST-017","LinkedIn Jobs Intent-Based Scraping","Scrape LinkedIn job postings with intent signals","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-017_LinkedIn_Jobs_Intent_Based_Scraping.json","Active"
"TST-018","LinkedIn Sales Navigator Lead Extraction","Extract leads from LinkedIn Sales Navigator","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-018_LinkedIn_Sales_Navigator_Lead_Extraction.json","Active"
"TST-019","Make.com Automation","Workflow automation using Make.com platform","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-019_Make_Com_Automation_DEPRECATED.json","Deprecated"
"TST-020","Newsletter Subscriber Auto Reply","Automated reply system for newsletter subscribers","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-020_Newsletter_Subscriber_Auto_Reply.json","Active"
"TST-021","Send Old Client Email Template","Send re-engagement emails to dormant clients","SAL","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-021_Send_Old_Client_Email_Template.json","Active"
"TST-022","Stacked Connector Post Meeting Automation","Automate post-meeting follow-up using stacked MCP connectors","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-022_Stacked_Connector_Post_Meeting_Automation.json","Active"
"TST-023","File Count Distribution","Analyze file count distribution across directories","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-023_File_Count_Distribution.json","Active"
"TST-024","Folder Structure Mapping","Map and document folder structure hierarchy","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-024_Folder_Structure_Mapping.json","Active"
"TST-025","File Size Analysis","Analyze file sizes across ecosystem","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-025_File_Size_Analysis.json","Active"
"TST-026","Naming Convention Audit","Audit and validate naming conventions","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-026_Naming_Convention_Audit.json","Active"
"TST-027","JSON Schema Validation","Validate JSON schema compliance","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-027_JSON_Schema_Validation.json","Active"
"TST-028","Version Control Consistency","Ensure version control consistency across files","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-028_Version_Control_Consistency.json","Active"
"TST-029","Duplicate Content Detection","Detect and resolve duplicate content","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-029_Duplicate_Content_Detection.json","Active"
"TST-030","Terminology Extraction","Extract and standardize terminology","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-030_Terminology_Extraction.json","Active"
"TST-031","Documentation Completeness","Assess and improve documentation completeness","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-031_Documentation_Completeness.json","Active"
"TST-032","Cross Reference Validation","Validate cross-references between entities","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-032_Cross_Reference_Validation.json","Active"
"TST-033","Index Accuracy Check","Verify index file accuracy and completeness","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-033_Index_Accuracy_Check.json","Active"
"TST-034","Dependency Flow Mapping","Map dependency flows between components","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-034_Dependency_Flow_Mapping.json","Active"
"TST-035","Architecture Documentation","Document system architecture and design","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-035_Architecture_Documentation.json","Active"
"TST-036","Terminology Consolidation","Consolidate and standardize terminology","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-036_Terminology_Consolidation.json","Active"
"TST-037","Recommendations Compilation","Compile system improvement recommendations","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-037_Recommendations_Compilation.json","Active"
"TST-038","Project Documentation Creation","Create comprehensive project documentation","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-038_Project_Documentation_Creation.json","Active"
"TST-039","Setup n8n for CV Screening","Setup n8n automation for CV screening workflow","HRM","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-039_Setup_n8n_for_CV_Screening.json","Active"
"TST-040","Configure Gemini AI Analysis","Configure Google Gemini for AI-powered analysis","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-040_Configure_Gemini_AI_Analysis.json","Active"
"TST-041","Build Notion ATS Database","Build Applicant Tracking System in Notion","HRM","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-041_Build_Notion_ATS_Database.json","Active"
"TST-042","Setup Interview Scheduling","Setup automated interview scheduling system","HRM","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-042_Setup_Interview_Scheduling.json","Active"
"TST-043","Configure LinkedIn Automation","Configure LinkedIn automation workflows","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-043_Configure_LinkedIn_Automation.json","Active"
"TST-044","Setup Onboarding Workflow","Setup automated employee onboarding workflow","HRM","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-044_Setup_Onboarding_Workflow.json","Active"
"TST-045","Research AI Video Tools","Research and evaluate AI video processing tools","VID","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-045_Research_AI_Video_Tools.json","Active"
"TST-046","Research AI Platforms","Research AI platforms and services","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-046_Research_AI_Platforms.json","Active"
"TST-047","Research Development Tools","Research software development tools and frameworks","DEV","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-047_Research_Development_Tools.json","Active"
"TST-048","Research Other Tools","Research miscellaneous tools and utilities","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-048_Research_Other_Tools.json","Active"
"TST-049","Perform Initial Video Analysis","Perform initial analysis of video content","VID","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-049_Perform_Initial_Video_Analysis.json","Active"
"TST-050","Search Score Videos","Search and score videos for processing priority","VID","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-050_Search_Score_Videos.json","Active"
"TST-051","Select Videos","Select videos for transcription and processing","VID","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-051_Select_Videos.json","Active"
"TST-052","Extract Taxonomy","Extract taxonomy elements from content","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-052_Extract_Taxonomy.json","Active"
"TST-053","Validate Taxonomy","Validate extracted taxonomy elements","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-053_Validate_Taxonomy.json","Active"
"TST-054","Validate Tools","Validate tool entries and metadata","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-054_Validate_Tools.json","Active"
"TST-055","Update Mappings","Update taxonomy mappings and relationships","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-055_Update_Mappings.json","Active"
"TST-056","Gap Analysis","Perform gap analysis on taxonomy coverage","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-056_Gap_Analysis.json","Active"
"TST-057","Transcribe Video","Transcribe video content to text","VID","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-057_Transcribe_Video.json","Active"
"TST-058","Create Update Tool Entries","Create or update tool library entries","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-058_Create_Update_Tool_Entries.json","Active"
"TST-059","Install MCP Server VS Code","Install MCP server in VS Code environment","DEV","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-059_Install_MCP_Server_VS_Code.json","Active"
"TST-060","Configure Agent Command Allowlist","Configure allowed commands for AI agents","DEV","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-060_Configure_Agent_Command_Allowlist.json","Active"
"TST-061","Generate Project Instructions Copilot","Generate project instructions for GitHub Copilot","DEV","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-061_Generate_Project_Instructions_Copilot.json","Active"
"TST-062","Conduct Universal Search Across Work Apps","Perform universal search across work applications","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-062_Conduct_Universal_Search_Across_Work_Apps.json","Active"
"TST-063","Create Auto-Updating Research Stack","Create self-updating research knowledge stack","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-063_Create_Auto_Updating_Research_Stack.json","Active"
"TST-064","Setup Company Voice Guide","Setup company brand voice guidelines","DSN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-064_Setup_Company_Voice_Guide.json","Active"
"TST-065","Design Multi-Tier LLM Evaluation Pipeline","Design evaluation pipeline for LLM outputs","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-065_Design_Multi_Tier_LLM_Evaluation_Pipeline.json","Active"
"TST-066","Create Reusable Prompt Template","Create reusable prompt templates","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-066_Create_Reusable_Prompt_Template.json","Active"
"TST-067","Apply Decision Framework to Product Choice","Apply decision framework for product selection","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-067_Apply_Decision_Framework_to_Product_Choice.json","Active"
"TST-068","Behance Step 01 Select and Prepare Project","Select and prepare project for Behance publication","DSN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-100_Behance_Step_01_Select_and_Prepare_Project.json","Active"
"TST-069","Create New Account","Create new account in system or platform","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/Account_Management/TST-069_Create_New_Account.json","Active"
"TST-070","Verify Account","Verify and validate account credentials","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/Account_Management/TST-070_Verify_Account.json","Active"
"TST-071","Create Job Account","Create account for job posting platforms","HRM","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/Account_Management/TST-071_Create_Job_Account.json","Active"
"WRF-001","Old Client Re-Engagement Workflow","Workflow for re-engaging dormant clients","SAL","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Old_Client_Reengagement_Workflow.yaml","Active"
"WRF-002","Lead Enrichment Workflow","Workflow for enriching lead data with emails and details","LGN","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Lead_Enrichment_Workflow.yaml","Active"
"WRF-003","Content Repurposing Pipeline Workflow","Workflow for repurposing content across platforms","VID","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Content_Repurposing_Pipeline_Workflow.yaml","Active"
"WRF-004","Cross-Platform Content Distribution Workflow","Distribute content across multiple platforms","VID","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Cross_Platform_Content_Distribution_Workflow.yaml","Active"
"WRF-005","Instagram Content Strategy Workflow","Instagram content planning and posting workflow","VID","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Instagram_Content_Strategy_Workflow.yaml","Active"
"WRF-006","Behance Project Publishing Workflow","Workflow for publishing design projects to Behance","DSN","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Behance_Project_Publishing_Workflow.yaml","Active"
"WRF-007","Dribbble Shot Posting Workflow","Workflow for posting design shots to Dribbble","DSN","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Dribbble_Shot_Posting_Workflow.yaml","Active"
"WRF-008","YouTube Tutorial Production Workflow","End-to-end YouTube tutorial production workflow","VID","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/YouTube_Tutorial_Production_Workflow.yaml","Active"
"WRF-009","Short-Form Video Production Workflow","Workflow for creating short-form video content","VID","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Short_Form_Video_Production_Workflow.yaml","Active"
"WRF-010","LinkedIn B2B Content Strategy Workflow","LinkedIn B2B content planning and distribution","LGN","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/LinkedIn_B2B_Content_Strategy_Workflow.yaml","Active"
"WRF-011","Medium Long-Form Publishing Workflow","Workflow for publishing long-form content on Medium","VID","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Medium_Long_Form_Publishing_Workflow.yaml","Active"
"WRF-012","Facebook Community Management Workflow","Facebook community engagement and management workflow","VID","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Facebook_Community_Management_Workflow.yaml","Active"
"WRF-013","Twitter Real-Time Engagement Workflow","Real-time Twitter engagement and posting workflow","VID","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Twitter_Real_Time_Engagement_Workflow.yaml","Active"
"WRF-014","Pinterest Discovery Strategy Workflow","Pinterest content discovery and pinning strategy","VID","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Pinterest_Discovery_Strategy_Workflow.yaml","Active"
"WRF-015","Dribbble Shot Publishing Workflow","Dribbble design shot publishing workflow","DSN","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Dribbble_Shot_Publishing_Workflow.yaml","Active"
"WRF-016","Instagram Designer Portfolio Workflow","Instagram portfolio showcasing workflow for designers","DSN","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Instagram_Designer_Portfolio_Workflow.yaml","Active"
"WRF-017","Pinterest Traffic Generation Workflow","Drive traffic using Pinterest marketing strategy","VID","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Pinterest_Traffic_Generation_Workflow.yaml","Active"
"WRF-018","GitHub Open Source Contribution Workflow","Workflow for contributing to open source projects","DEV","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/GitHub_Open_Source_Contribution_Workflow.yaml","Active"
"WRF-019","Stack Overflow Reputation Building Workflow","Build reputation on Stack Overflow through contributions","DEV","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Stack_Overflow_Reputation_Building_Workflow.yaml","Active"
"WRF-020","Dev.to Technical Blogging Workflow","Technical blogging workflow for Dev.to platform","DEV","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/Dev_to_Technical_Blogging_Workflow.yaml","Active"
"GDS-001","Knowledge Library Guide","Guide for using the knowledge library system","AIA","ENTITIES/TASK_MANAGERS/TSM-007_GUIDES/Framework_Documentation/Knowledge_Library_Guide.md","Active"
"GDS-002","Implementation Checklists","Implementation checklists for various workflows","AIA","ENTITIES/TASK_MANAGERS/TSM-007_GUIDES/Framework_Documentation/Implementation_Checklists.md","Active"
"GDS-003","Designer Integration Summary","Summary of designer integration processes","DSN","ENTITIES/TASK_MANAGERS/TSM-007_GUIDES/Framework_Documentation/DESIGNER_INTEGRATION_SUMMARY.md","Active"
"GDS-004","Tool Usage Organizational Proposals","Proposals for tool usage and organization","AIA","ENTITIES/TASK_MANAGERS/TSM-007_GUIDES/Framework_Documentation/Tool_Usage_Organizational_Proposals.md","Active"
"GDS-005","CRM Entities LLM Taxonomy Guide","Taxonomy guide for CRM entities and LLM integration","AIA","ENTITIES/TASK_MANAGERS/TSM-007_GUIDES/CRM_ENTITIES_LLM_TAXONOMY_GUIDE.md","Active"
"GDS-006","Data Extraction Prompt Guide","Guide for data extraction prompt engineering","AIA","ENTITIES/TASK_MANAGERS/TSM-007_GUIDES/DATA_EXTRACTION_PROMPT.md","Active"
"GDS-007","Framework Documentation README","Main README for framework documentation","AIA","ENTITIES/TASK_MANAGERS/TSM-007_GUIDES/Framework_Documentation/Framework_README.md","Active"
"GDS-008","Taxonomy Guides README","README for taxonomy guides collection","AIA","ENTITIES/TASK_MANAGERS/TSM-007_GUIDES/README_TAXONOMY_GUIDES.md","Active"
"PRM-001","Version Control Automation Prompt","Automated version control management prompt","AIA","ENTITIES/PROMPTS/Automation/Version_Control_Automation.md","Active"
"PRM-002","Rules Automation Prompt","Business rules automation prompt","AIA","ENTITIES/PROMPTS/Automation/Rules_Automation.md","Active"
"PRM-003","CV Parser Version 1","CV parsing prompt for extracting candidate information","HRM","ENTITIES/PROMPTS/HR_Operations/CV_Parser_v1.md","Active"
"PRM-004","VS Code Agent HQ Research","Research prompt for VS Code agent capabilities","DEV","ENTITIES/PROMPTS/Research_Prompts/VSCode_Agent_HQ_Research_Prompt.md","Active"
"PRM-005","Build Taxonomy ID System","Prompt for building systematic taxonomy ID structure","AIA","ENTITIES/PROMPTS/Taxonomy/PROMPT_Build_Taxonomy_ID_System.md","Active"
"RSR-001","Social Media Strategies for Creative Professionals","Research on social media strategies for creatives in EU 2025","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/ARCHIVE/Pre_Taxonomy_Cleanup/SMM/Social Media Strategies for Creative Professionals (EU 2025).md","Active"
"RSR-002","Video Research 001","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_001.md","Active"
"RSR-003","Video Research 002","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_002.md","Active"
"RSR-004","Video Research 003","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_003.md","Active"
"RSR-005","Video Research 004","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_004.md","Active"
"RSR-006","Video Research 005","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_005.md","Active"
"RSR-007","Video Research 006","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_006.md","Active"
"RSR-008","Video Research 007","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_007.md","Active"
"RSR-009","Video Research 008","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_008.md","Active"
"RSR-010","Video Research 009","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_009.md","Active"
"RSR-011","HR Videos Research","Comprehensive HR automation research from video tutorials","HRM","ENTITIES/TASK_MANAGERS/RESEARCHES/ARCHIVE/Pre_Taxonomy_Cleanup/Research_Reports/HR videos research.md","Active"
"RSR-012","Video Research 010","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_010.md","Active"
"RSR-013","Video Research 011","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_011.md","Active"
"RSR-014","Video Research 012","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_012.md","Active"
"RSR-015","Video Research 013","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_013.md","Active"
"RSR-016","Video Research 014","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_014.md","Active"
"RSR-017","Video Research 016","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_016.md","Active"
"RSR-018","Video Research 017","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_017.md","Active"
"RSR-019","Video Research 018","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_018.md","Active"
"RSR-020","Video Research 019","Video content analysis and taxonomy extraction","VID","ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_19.md","Active"
