Department,TOL_ID,Name,Description,Purpose,Cost,Testing_Status,Mention_Count
AI,TOL-094,MCP Servers,Model Context Protocol (MCP) servers are extensions that provide AI agents like GitHub Copilot's Age...,N/A,N/A,Actively Used,34
AI,TOL-098,MiniMax,AI chatbot and agent platform offering conversational AI capabilities.,AI chatbot and agent platform designed to minimize effort and maximize intellige...,TBD,Mentioned,3
AI,TOL-106,Ollama,Easiest way to run open-source LLMs locally.,Run and serve local LLMs on your hardware,Free (Open Source),Actively Used,9
AI,TOL-107,Open WebUI,Self-hosted ChatGPT-like chat platform for local LLMs.,ChatGPT-like interface for local LLMs,Free (Open Source),Mentioned,4
AI,TOL-109,OpenArt,OpenArt is a comprehensive AI content creation platform that aggregates and provides access to the l...,Unified AI content creation platform providing access to multiple AI models for ...,"Freemium model (free tier available, paid plans fo...",Actively Used,37
AI,TOL-110,OpenArt Photorealistic,OpenArt Photorealistic is an AI image generation model accessible exclusively through the OpenArt pl...,Specialized AI image generation model optimized for photorealistic human portrai...,Accessed via OpenArt platform credits/subscription,Actively Used,5
AI,TOL-111,OpenRouter,"API platform that provides unified access to multiple AI models including GPT-4, Claude, Gemini, and...",Unified API access to multiple AI models and LLMs,Usage-based pricing,Mentioned,3
AI,TOL-112,Perplexity,AI research assistant with real-time web search capabilities.,AI-powered research and web search with citations,Freemium (Free tier + Pro $20/month),Actively Used,185
AI,TOL-115,Pollo.ai,AI platform offering various AI solutions and services.,AI platform for various applications (details TBD),TBD,Testing Needed,0
AI,TOL-118,Pydantic AI,AI agent framework that makes it easy to build agents without fighting the framework.,"Build structured, type-safe AI agents with minimal abstraction",Free (Open Source),Actively Used,32
AI,TOL-126,Runner,AI platform by H Company offering various AI solutions and services.,AI platform for various applications (details TBD),TBD,Mentioned,2
AI,TOL-129,SearXNG,"Completely local, privacy-focused metasearch engine that aggregates results from multiple search eng...",Privacy-focused self-hosted metasearch engine,Free (Open Source),Actively Used,6
AI,TOL-131,Seedream 4.0,Seedream 4.,Specialized AI image generation model optimized for objects and environment scen...,Accessed via OpenArt platform credits/subscription,Actively Used,7
AI,TOL-132,Smithery.ai,AI platform offering various AI solutions and services.,AI platform for various applications (details TBD),TBD,Testing Needed,0
AI,TOL-133,Sonnet 4.5,Claude's most advanced model specifically recommended for MCP connector code generation and tool cal...,Advanced Claude model recommended for code generation and tool calling,Higher API cost than other Claude models,Actively Used,27
AI,TOL-140,Synthesia,"Enterprise-grade AI video generation platform creating professional videos with AI avatars, multilin...",AI video creation platform with AI avatars for professional video production,Subscription-based (Plans from $22/month per user),Mentioned,3
AI,TOL-145,TurboScribe,AI transcription service that converts audio and video files to text with high accuracy.,AI-powered transcription and audio processing,Subscription-based,Testing Needed,0
AI,TOL-156,WHALESWING,AI platform offering various AI solutions and services.,AI platform for various applications (details TBD),TBD,Mentioned,1
AI,TOL-155,Wan 2.2,Wan 2.,Open-source AI video generation from text prompts or images,Free (Open Source - Apache 2.0 License),Actively Used,34
AI,TOL-157,Wispr Flow,AI workflow automation platform that helps automate tasks and processes across departments.,AI-powered workflow automation and task management,Subscription-based,Mentioned,4
AI,TOL-148,v0.dev,Vercel's AI-powered platform for generating React UI components from text prompts.,AI-powered UI component generation from text prompts,Free (with Vercel account),Mentioned,2
All,TOL-026,Claude,Advanced AI language model with 200K+ token context window.,"Advanced AI assistant for analysis, automation, and MCP connector integration","API-based (usage pricing), Subscription for Pro fe...",Actively Used,607
All,TOL-033,Cove.ai,AI platform offering various AI solutions and services.,AI platform for various applications (details TBD),TBD,Testing Needed,0
All,TOL-086,Loom,Video messaging platform enabling users to record and share videos instantly.,Video messaging and screen recording for work communication,"Freemium (Free tier available, paid plans from $8/...",Actively Used,46
All,TOL-100,Movie Gen,Movie Gen is Meta's AI video generation model capable of creating videos from text descriptions and ...,AI-powered video generation from text prompts and images,TBD,Mentioned,4
Design,TOL-002,Adobe Firefly,Adobe's AI image generation tool integrated with Photoshop and other Creative Cloud applications.,AI-powered image generation and editing integrated with Adobe Creative Suite,Subscription-based (Adobe Creative Cloud subscript...,Actively Used,18
Design,TOL-022,Bubble.io,"Visual, no-code platform for building web applications without coding.",No-code platform for building web applications with visual programming,"Freemium (Free tier available, paid plans from $29...",Testing Needed,0
Design,TOL-026,Claude,Advanced AI language model with 200K+ token context window.,"Advanced AI assistant for analysis, automation, and MCP connector integration","API-based (usage pricing), Subscription for Pro fe...",Actively Used,607
Design,TOL-031,ComfyUI,ComfyUI is a powerful and modular node-based GUI for running AI image and video generation models.,Node-based graphical interface for running AI diffusion models,Free (Open Source),Actively Used,17
Design,TOL-039,DeepSite,Hugging Face Space providing AI models for website generation.,AI-powered website generation using Hugging Face models,Free,Mentioned,2
Design,TOL-054,Flux,Flux is a family of state-of-the-art text-to-image generation models developed by Black Forest Labs ...,"Advanced open-source text-to-image AI model with exceptional prompt adherence, p...","Varies by platform - Free (Flux Schnell), API cred...",Mentioned,1
Design,TOL-055,Flux Kontext,"Flux Kontext is a specialized variant of the Flux image generation model, accessible exclusively thr...",Specialized Flux variant optimized for complex scene composition and brand conte...,Accessed via OpenArt platform credits/subscription,Mentioned,1
Design,TOL-063,GLIF,"GLIF is an AI workflow automation platform that allows users to create, share, and use AI agents tha...",AI workflow automation platform for creative AI tool orchestration and agent-bas...,Freemium (Free tier available + paid plans),Actively Used,82
Design,TOL-057,Gamma.app,"AI-powered platform for creating presentations, websites, and documents effortlessly.","AI-powered presentation, website, and document creation","Freemium (Free tier available, paid plans from $8/...",Testing Needed,0
Design,TOL-083,Leonardo.ai,"AI image generation platform with fine-tuned models, style presets, and control tools.",AI image creation with artistic styles and controlnets,Freemium (Free tier + paid plans $10-$48/month),Mentioned,2
Design,TOL-087,Lovable.dev,AI-powered platform that enables users to build applications and websites by chatting with AI.,Create apps and websites through AI-powered conversational interface,"Freemium (Free tier available, paid plans for adva...",Mentioned,2
Design,TOL-096,Mem0,Long-term memory framework for AI agents.,Add long-term memory to AI agents,Free (Open Source),Actively Used,23
Design,TOL-097,Midjourney,AI-powered text-to-image generation tool accessed via Discord and web interface.,"AI image generation for concept art, illustrations, and visual ideation","Subscription-based ($10/month Basic, $30/month Sta...",Actively Used,264
Design,TOL-105,Notion AI,"AI-enhanced workspace platform that combines notes, databases, wikis, and AI assistance.",AI-powered workspace and knowledge management,"Subscription-based (Free tier available, AI featur...",Mentioned,1
Design,TOL-120,Ragas,RAG evaluation framework for setting up evaluation pipelines with specialized metrics like faithfuln...,Evaluate RAG system performance with specialized metrics,Free (Open Source),Actively Used,15
Design,TOL-128,RunwayML,"Professional AI video editing platform offering video generation, image-to-video conversion, video e...","AI-powered video generation, editing, and manipulation","Subscription-based (Free tier available, paid plan...",Actively Used,6
Dev,TOL-009,Arcade.ai,Platform for handling AI agent authorization and tool security.,Secure agent authorization and tool security with OAuth flows,Commercial (Pricing not specified),Mentioned,1
Dev,TOL-010,Archon,Open-source project that enhances AI coding assistants (especially Claude Code) with knowledge manag...,Knowledge and task management for AI coding assistants,Free (Open Source),Actively Used,18
Dev,TOL-014,Awesome Copilot,"A curated GitHub repository containing custom chat modes, project instructions, and prompt templates...",N/A,N/A,Mentioned,1
Dev,TOL-021,Browserbase,Managed infrastructure for AI agents to control browsers with natural language.,AI-driven browser automation for agents,Commercial (Managed Service),Actively Used,12
Dev,TOL-022,Bubble.io,"Visual, no-code platform for building web applications without coding.",No-code platform for building web applications with visual programming,"Freemium (Free tier available, paid plans from $29...",Testing Needed,0
Dev,TOL-025,ChatGPT (OpenAI),Fast and versatile AI for content creation.,"Content generation, message creation, Custom GPT specialized assistants",API-based (usage pricing) + Custom GPT (ChatGPT Pl...,Testing Needed,0
Dev,TOL-026,Claude,Advanced AI language model with 200K+ token context window.,"Advanced AI assistant for analysis, automation, and MCP connector integration","API-based (usage pricing), Subscription for Pro fe...",Actively Used,607
Dev,TOL-027,Claude Desktop App,Desktop application interface for Claude AI that enables running custom local MCP (Model Context Pro...,Local desktop application for Claude AI with MCP connector support,"Free application, requires Claude API subscription",Actively Used,9
Dev,TOL-028,Claude Projects,Claude Projects is a feature within Claude that allows users to create dedicated workspaces with cus...,"Organize AI workflows with custom knowledge, instructions, and team collaboratio...",Included with Claude Pro subscription ($20/month) ...,Mentioned,1
Dev,TOL-030,CodeRabbit,AI-powered code review tool that automatically reviews every pull request.,Automated AI code review for pull requests,Free (Open Source Repos) + Commercial (Private Rep...,Actively Used,11
Dev,TOL-034,Crawl4AI,"Fast, efficient web crawler and scraper designed for AI applications.",Fast web crawling and data extraction for RAG and AI agents,Free (Open Source),Actively Used,12
Dev,TOL-035,CrewAI,Popular multi-agent framework that emphasizes role-based agents working as a crew.,Role-based multi-agent orchestration framework,Free (Open Source),Actively Used,10
Dev,TOL-037,Cursor,Cursor is an AI-powered code editor built specifically for AI-first development workflows.,AI-first code editor with integrated multiple LLM models for AI-assisted develop...,"Subscription-based (free tier available, Pro tier ...",Actively Used,379
Dev,TOL-039,DeepSite,Hugging Face Space providing AI models for website generation.,AI-powered website generation using Hugging Face models,Free,Mentioned,2
Dev,TOL-044,Docling,"Framework for extracting data from complex documents like PDFs with diagrams, Excel files, and other...",Extract text from complex documents for RAG systems,Free (Open Source),Actively Used,23
Dev,TOL-057,Gamma.app,"AI-powered platform for creating presentations, websites, and documents effortlessly.","AI-powered presentation, website, and document creation","Freemium (Free tier available, paid plans from $8/...",Testing Needed,0
Dev,TOL-058,Gemini,Google's AI model optimized for processing large datasets.,"Large dataset processing, LinkedIn account analysis, deep company research",Free tier (3-month promo: $120 value → $80) + paid...,Actively Used,345
Dev,TOL-059,Gemini File Search API,"Google's managed RAG solution that automatically handles file upload, chunking, embedding generation...",Managed Retrieval-Augmented Generation (RAG) that eliminates vector database inf...,"{'model': 'Freemium', 'free_tier': 'Limited file u...",Actively Used,8
Dev,TOL-060,Genspark.ai,Comprehensive AI workspace platform offering multiple AI tools and services in one unified interface...,All-in-one AI workspace with multiple AI tools and services,TBD,Testing Needed,0
Dev,TOL-062,GitHub Copilot,GitHub Copilot is an AI pair programmer that offers autocomplete-style code suggestions and autonomo...,AI-powered code completion and autonomous agent for software development,"Free for students/educators/open-source, $10/month...",Actively Used,35
Dev,TOL-065,Google AI Studio,Google's official comprehensive AI workbench for experimenting with Gemini AI models.,"Unified platform for generative AI tasks including chat, media generation (Veo v...","Free tier with usage limits, Pay-per-use for API c...",Actively Used,24
Dev,TOL-071,Graphiti,Library for inserting data into knowledge graphs and searching them.,Build knowledge graphs from text with intelligent entity extraction,Free (Open Source),Actively Used,16
Dev,TOL-079,Kimi K2 Thinking,"Kimi K2 Thinking is a frontier-level, open-source, open-weights AI model from Chinese AI company Moo...",Open-source frontier AI model with long-chain reasoning and agentic tool-use cap...,N/A,Actively Used,51
Dev,TOL-082,LangGraph,Multi-agent orchestration framework for connecting AI agents in complex workflows.,Orchestrate complex multi-agent workflows with state management and human-in-the...,Free (Open Source),Actively Used,29
Dev,TOL-081,Langfuse,Agent observability platform for monitoring AI agents in production.,Monitor and observe AI agent performance in production,Free (Open Source) + Cloud Hosting Option,Actively Used,23
Dev,TOL-087,Lovable.dev,AI-powered platform that enables users to build applications and websites by chatting with AI.,Create apps and websites through AI-powered conversational interface,"Freemium (Free tier available, paid plans for adva...",Mentioned,2
Dev,TOL-093,MCP Builder (Skill),Claude skill that auto-generates Model Context Protocol (MCP) server code for connecting Claude to a...,Automatically generate MCP connector code from simple prompts,Included with Claude subscription (part of Claude ...,Actively Used,13
Dev,TOL-090,Manus.im,AI platform offering various AI solutions and services.,AI platform for various applications (details TBD),TBD,Testing Needed,0
Dev,TOL-107,Open WebUI,Self-hosted ChatGPT-like chat platform for local LLMs.,ChatGPT-like interface for local LLMs,Free (Open Source),Mentioned,4
Dev,TOL-115,Pollo.ai,AI platform offering various AI solutions and services.,AI platform for various applications (details TBD),TBD,Testing Needed,0
Dev,TOL-155,Wan 2.2,Wan 2.,Open-source AI video generation from text prompts or images,Free (Open Source - Apache 2.0 License),Actively Used,34
HR,TOL-108,OpenAI GPT-5,"Large language model with strong capabilities in visual interpretation, unstructured data parsing, a...","Advanced AI model for parsing unstructured data, visual design analysis, and com...",API-based usage pricing,Actively Used,5
LG,TOL-034,Crawl4AI,"Fast, efficient web crawler and scraper designed for AI applications.",Fast web crawling and data extraction for RAG and AI agents,Free (Open Source),Actively Used,12
LG,TOL-058,Gemini,Google's AI model optimized for processing large datasets.,"Large dataset processing, LinkedIn account analysis, deep company research",Free tier (3-month promo: $120 value → $80) + paid...,Actively Used,345
LG,TOL-112,Perplexity,AI research assistant with real-time web search capabilities.,AI-powered research and web search with citations,Freemium (Free tier + Pro $20/month),Actively Used,185
LG,TOL-130,Seedream,Seedream is an AI video generation tool specializing in tilt-shift effects and miniature-world video...,AI-powered tilt-shift and miniature-style video generation for creative and docu...,Usage-based (typically accessed via GLIF workflows...,Actively Used,31
LG,TOL-150,VAYU,VAYU (currently version 2.,Specialized AI video generation for miniature/tilt-shift style videos and creati...,Usage-based (typically accessed via GLIF workflows...,Actively Used,30
Marketing,TOL-025,ChatGPT (OpenAI),Fast and versatile AI for content creation.,"Content generation, message creation, Custom GPT specialized assistants",API-based (usage pricing) + Custom GPT (ChatGPT Pl...,Testing Needed,0
Marketing,TOL-026,Claude,Advanced AI language model with 200K+ token context window.,"Advanced AI assistant for analysis, automation, and MCP connector integration","API-based (usage pricing), Subscription for Pro fe...",Actively Used,607
Marketing,TOL-028,Claude Projects,Claude Projects is a feature within Claude that allows users to create dedicated workspaces with cus...,"Organize AI workflows with custom knowledge, instructions, and team collaboratio...",Included with Claude Pro subscription ($20/month) ...,Mentioned,1
Marketing,TOL-049,ElevenLabs,Advanced AI voice generation platform.,AI text-to-speech and voice cloning for video voiceovers,Freemium (Free tier 10k chars/month + paid plans $...,Actively Used,5
Marketing,TOL-055,Flux Kontext,"Flux Kontext is a specialized variant of the Flux image generation model, accessible exclusively thr...",Specialized Flux variant optimized for complex scene composition and brand conte...,Accessed via OpenArt platform credits/subscription,Mentioned,1
Marketing,TOL-063,GLIF,"GLIF is an AI workflow automation platform that allows users to create, share, and use AI agents tha...",AI workflow automation platform for creative AI tool orchestration and agent-bas...,Freemium (Free tier available + paid plans),Actively Used,82
Marketing,TOL-057,Gamma.app,"AI-powered platform for creating presentations, websites, and documents effortlessly.","AI-powered presentation, website, and document creation","Freemium (Free tier available, paid plans from $8/...",Testing Needed,0
Marketing,TOL-058,Gemini,Google's AI model optimized for processing large datasets.,"Large dataset processing, LinkedIn account analysis, deep company research",Free tier (3-month promo: $120 value → $80) + paid...,Actively Used,345
Marketing,TOL-070,Google Veo 3.1,Google Veo 3.,"High-quality AI video generation with advanced frame control, multi-image refere...",Usage-based (accessed via OpenArt platform - prici...,Actively Used,27
Marketing,TOL-072,Grok,AI chatbot developed by xAI (Elon Musk's company) with real-time access to X (Twitter) platform.,AI chatbot with real-time information access via X (Twitter),"Subscription-based (X Premium required, $16/month ...",Actively Used,10
Marketing,TOL-076,HeyGen,"AI-powered video generation platform that creates videos with realistic AI avatars, voice cloning, a...",AI video generation with avatars and voice cloning,"Freemium (Free tier available, paid plans from $24...",Actively Used,6
Marketing,TOL-078,InVideo AI,AI video creation platform that generates videos from text prompts.,AI-powered video creation and editing,"Freemium (Free tier available, paid plans availabl...",Testing Needed,0
Marketing,TOL-089,Maestra.ai,"AI-powered platform for transcribing audio and video files, generating subtitles, and translating co...","AI transcription, subtitling, and video translation platform","Freemium (Free trial available, paid plans from $6...",Actively Used,8
Marketing,TOL-092,Mayple,Mayple is an innovative AI-driven marketing talent platform operating more like a digital marketing ...,"AI-powered platform for matching businesses with expert marketers, specializing ...","Premium pricing (estimated $5,000-$15,000+/month);...",Mentioned,2
Marketing,TOL-101,Nano Banana,Nano Banana is an AI image generation and editing tool specialized in creating high-quality visuals ...,"AI image generation and manipulation for creative content, thumbnails, and style...",Usage-based (typically accessed via GLIF platform),Actively Used,40
Marketing,TOL-104,NotebookLM,Google's AI research assistant that can synthesize information from multiple uploaded sources.,Multi-source research synthesis and document analysis,Free (Google account required),Actively Used,34
Marketing,TOL-108,OpenAI GPT-5,"Large language model with strong capabilities in visual interpretation, unstructured data parsing, a...","Advanced AI model for parsing unstructured data, visual design analysis, and com...",API-based usage pricing,Actively Used,5
Marketing,TOL-112,Perplexity,AI research assistant with real-time web search capabilities.,AI-powered research and web search with citations,Freemium (Free tier + Pro $20/month),Actively Used,185
Marketing,TOL-120,Ragas,RAG evaluation framework for setting up evaluation pipelines with specialized metrics like faithfuln...,Evaluate RAG system performance with specialized metrics,Free (Open Source),Actively Used,15
Marketing,TOL-124,Replit,Collaborative online integrated development environment (IDE) that supports multiple programming lan...,Online IDE with AI assistance for building apps and websites,"Freemium (Free tier available, paid plans from $7/...",Actively Used,23
Marketing,TOL-128,RunwayML,"Professional AI video editing platform offering video generation, image-to-video conversion, video e...","AI-powered video generation, editing, and manipulation","Subscription-based (Free tier available, paid plan...",Actively Used,6
Marketing,TOL-134,Sora,Sora is OpenAI's state-of-the-art video generation model (Sora 2 being the latest version) that crea...,Advanced AI text-to-video and image-to-video generation for creative content pro...,"Subscription-based (OpenAI pricing, typically bund...",Actively Used,29
Marketing,TOL-138,Suno,AI-powered music generation platform that creates original music compositions from text prompts.,AI music generation and composition,"Freemium (Free tier available, paid plans availabl...",Testing Needed,0
Marketing,TOL-150,VAYU,VAYU (currently version 2.,Specialized AI video generation for miniature/tilt-shift style videos and creati...,Usage-based (typically accessed via GLIF workflows...,Actively Used,30
Marketing,TOL-151,Vectal Pro,AI platform offering various AI solutions and services.,AI platform for various applications (details TBD),TBD,Testing Needed,0
Marketing,TOL-154,Vozo AI,AI video platform offering various video-related AI tools and services.,AI video platform for various video applications (details TBD),TBD,Testing Needed,0
Marketing,TOL-160,Zep,Alternative to Mem0 for AI agent memory management.,Long-term memory and context management for AI agents,Commercial (Cloud) + Self-hosted option,Actively Used,5
Sales,TOL-130,Seedream,Seedream is an AI video generation tool specializing in tilt-shift effects and miniature-world video...,AI-powered tilt-shift and miniature-style video generation for creative and docu...,Usage-based (typically accessed via GLIF workflows...,Actively Used,31
Sales,TOL-150,VAYU,VAYU (currently version 2.,Specialized AI video generation for miniature/tilt-shift style videos and creati...,Usage-based (typically accessed via GLIF workflows...,Actively Used,30
Sales,TOL-151,Vectal Pro,AI platform offering various AI solutions and services.,AI platform for various applications (details TBD),TBD,Testing Needed,0
Sales,TOL-160,Zep,Alternative to Mem0 for AI agent memory management.,Long-term memory and context management for AI agents,Commercial (Cloud) + Self-hosted option,Actively Used,5
Video,TOL-024,C dans,C dans (also referenced as C dans light) is an AI video animation tool used for creating animated vi...,AI-powered video animation and motion graphics for creative content production,Usage-based (freemium model with paid tiers),Mentioned,3
Video,TOL-031,ComfyUI,ComfyUI is a powerful and modular node-based GUI for running AI image and video generation models.,Node-based graphical interface for running AI diffusion models,Free (Open Source),Actively Used,17
Video,TOL-049,ElevenLabs,Advanced AI voice generation platform.,AI text-to-speech and voice cloning for video voiceovers,Freemium (Free tier 10k chars/month + paid plans $...,Actively Used,5
Video,TOL-063,GLIF,"GLIF is an AI workflow automation platform that allows users to create, share, and use AI agents tha...",AI workflow automation platform for creative AI tool orchestration and agent-bas...,Freemium (Free tier available + paid plans),Actively Used,82
Video,TOL-070,Google Veo 3.1,Google Veo 3.,"High-quality AI video generation with advanced frame control, multi-image refere...",Usage-based (accessed via OpenArt platform - prici...,Actively Used,27
Video,TOL-073,Hailo,AI video platform offering various video-related AI tools and services.,AI video platform for various video applications (details TBD),TBD,Testing Needed,0
Video,TOL-075,Hedra,AI video platform offering various video-related AI tools and services.,AI video platform for various video applications (details TBD),TBD,Mentioned,2
Video,TOL-076,HeyGen,"AI-powered video generation platform that creates videos with realistic AI avatars, voice cloning, a...",AI video generation with avatars and voice cloning,"Freemium (Free tier available, paid plans from $24...",Actively Used,6
Video,TOL-078,InVideo AI,AI video creation platform that generates videos from text prompts.,AI-powered video creation and editing,"Freemium (Free tier available, paid plans availabl...",Testing Needed,0
Video,TOL-080,Kling,Kling (currently version 2.,AI-powered video generation platform for creating high-quality videos from text ...,Freemium (Free credits available + paid plans),Actively Used,26
Video,TOL-089,Maestra.ai,"AI-powered platform for transcribing audio and video files, generating subtitles, and translating co...","AI transcription, subtitling, and video translation platform","Freemium (Free trial available, paid plans from $6...",Actively Used,8
Video,TOL-101,Nano Banana,Nano Banana is an AI image generation and editing tool specialized in creating high-quality visuals ...,"AI image generation and manipulation for creative content, thumbnails, and style...",Usage-based (typically accessed via GLIF platform),Actively Used,40
Video,TOL-104,NotebookLM,Google's AI research assistant that can synthesize information from multiple uploaded sources.,Multi-source research synthesis and document analysis,Free (Google account required),Actively Used,34
Video,TOL-124,Replit,Collaborative online integrated development environment (IDE) that supports multiple programming lan...,Online IDE with AI assistance for building apps and websites,"Freemium (Free tier available, paid plans from $7/...",Actively Used,23
Video,TOL-134,Sora,Sora is OpenAI's state-of-the-art video generation model (Sora 2 being the latest version) that crea...,Advanced AI text-to-video and image-to-video generation for creative content pro...,"Subscription-based (OpenAI pricing, typically bund...",Actively Used,29
